step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2371.8625,14347.288,62446.5203,-517129.1413,-437963.47050000005,-454682.62100000004
2000,2335.8971,14309.69,61991.1229,-516276.7386,-437640.02859999996,-454285.61569999997
3000,2410.2569,14444.3434,62476.1977,-517044.4405,-437713.6425,-454568.2428
4000,2337.6545,14384.2074,61547.1234,-515910.6794,-437641.6941,-454363.55600000004
5000,2380.9168,14417.728,61776.5005,-516047.682,-437472.53669999994,-454271.18149999995
6000,2368.0785,14195.5335,62375.8996,-516410.0703,-437470.55870000005,-454034.1707
7000,2374.8366,14377.5793,61954.5847,-516914.7785,-438207.7779,-454960.1938
8000,2413.216,14389.0166,62209.5563,-516584.2972,-437572.5083,-454374.7409
9000,2380.2683,14287.8833,61696.3039,-516315.5706,-437951.1151,-454619.2667
10000,2365.5031,14348.2837,61863.4207,-516244.8558,-437667.6483,-454381.4351
11000,2375.047,14359.2699,62168.6484,-516841.6976,-437938.73230000003,-454673.0492
12000,2370.9983,14317.3647,62076.7831,-517051.7804,-438286.6343,-454974.9973
13000,2346.8051,14354.9392,61474.5431,-515961.8735,-437785.58609999996,-454487.3304
14000,2380.8687,14409.8362,61646.4709,-516334.564,-437897.38820000004,-454688.0931
15000,2374.4512,14478.6476,61576.9287,-516132.9801,-437702.95259999996,-454556.0514
16000,2385.8366,14406.5454,61987.7595,-516564.3333,-437784.19180000003,-454576.5738
17000,2390.0687,14494.7004,61898.782,-516102.593,-437319.0419,-454203.811
18000,2361.6529,14356.9956,62242.5345,-516686.3021,-437725.11909999995,-454443.76759999996
19000,2388.0168,14468.4641,62204.4682,-516136.3524,-437075.4033,-453931.8842
20000,2385.2164,14374.226,61820.5132,-516217.1508,-437637.1952,-454396.6376
21000,2391.2135,14403.8677,61836.3001,-516173.8657,-437542.4844,-454337.56560000003
22000,2389.1761,14335.8881,62050.353,-516859.0696,-438083.6524,-454808.7166
23000,2375.8617,14309.4927,61840.1142,-516371.6104,-437846.1418,-454531.4962
24000,2379.7755,14327.7486,61775.0441,-516419.2474,-437936.6792,-454644.2033
25000,2387.7544,14400.4476,62040.7241,-516930.2438,-438101.3177,-454889.5197
26000,2368.1667,14506.9562,61752.5881,-515956.4577,-437328.7467,-454203.86960000003
27000,2336.4215,14270.067,62216.5574,-516739.0892,-437916.0433,-454522.5318
28000,2360.7072,14344.0576,62083.1385,-516451.6528,-437663.7495,-454368.5143
29000,2353.4029,14524.1571,62235.6971,-516735.6585,-437622.40140000003,-454499.96140000003
30000,2364.0566,14451.8448,61543.4136,-515425.2602,-437065.9452,-453881.84660000005
31000,2388.5966,14480.2459,61480.1729,-515705.2801,-437356.26469999994,-454225.10719999997
32000,2365.7129,14389.0334,61789.7371,-516202.3292,-437657.8458,-454412.5921
33000,2387.5757,14513.0607,62406.0321,-517303.45,-437996.78150000004,-454897.4179
34000,2367.3804,14404.3191,61842.0786,-516560.984,-437947.2059,-454718.9054
35000,2363.4481,14460.7827,61673.5075,-516037.4297,-437539.6914,-454363.9222
36000,2353.1546,14335.6907,62241.3714,-516858.2353,-437928.0186,-454616.8639
37000,2384.034,14402.2972,62353.1597,-517265.9547,-438126.4638,-454912.795
38000,2382.597,14324.3844,62365.1215,-517296.0676,-438223.9647,-454930.9461
39000,2360.6385,14306.7306,61371.136,-515585.4821,-437546.977,-454214.3461
40000,2375.6174,14364.3176,62028.5444,-516556.3662,-437787.8868,-454527.8218
41000,2402.5998,14424.1958,61569.6726,-516146.8801,-437750.4119,-454577.2075
42000,2381.9019,14317.5236,61739.575,-516178.8828,-437739.88230000006,-454439.3078
43000,2363.0624,14326.1986,61225.9955,-515195.2666,-437280.01009999996,-453969.27109999995
44000,2379.9735,14457.4738,62092.5692,-516599.9582,-437669.94169999997,-454507.38899999997
45000,2376.0083,14460.8643,61715.175,-516827.7509,-438275.7033,-455112.5759
46000,2402.6353,14486.3691,62533.7566,-517404.1466,-437981.3856,-454870.38999999996
47000,2403.0488,14334.8844,62377.6044,-517409.0792,-438293.5416,-455031.47479999997
48000,2385.1817,14332.0645,61735.0383,-516982.8759,-438530.5914,-455247.83759999997
49000,2383.0702,14319.0831,61739.2833,-516381.8786,-437940.442,-454642.5953
50000,2405.7396,14439.5959,62098.8633,-516538.0309,-437593.8321,-454439.16760000004
51000,2392.6126,14374.6912,62049.1732,-516946.7725,-438130.2955,-454897.5993
52000,2401.7574,14443.003,62342.9419,-516906.3252,-437718.6229,-454563.38330000004
53000,2416.7992,14422.6899,61900.8488,-516689.4859,-437949.14800000004,-454788.63710000005
54000,2386.4591,14375.9936,61831.9575,-516475.2274,-437880.8172,-454643.26989999996
55000,2381.9549,14320.7771,62156.004,-516764.3138,-437905.57779999997,-454608.3098
