step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2416.5549,14337.5393,62532.278,-517393.1446,-438106.7724,-454860.8666
2000,2375.273,14199.9435,61844.9076,-516411.9709,-437991.8468,-454567.06330000004
3000,2365.2443,14288.9271,61924.14,-516653.1432,-438074.8318,-454729.0032
4000,2397.3244,14330.3648,61519.1212,-515627.9782,-437381.1678,-454108.857
5000,2382.8511,14320.3881,62326.3097,-516581.3452,-437551.7963,-454255.0355
6000,2385.9214,14291.3713,61592.5381,-516388.6735,-438118.8427,-454796.13539999997
7000,2349.9496,14338.3265,62296.7623,-517372.0748,-438387.0364,-455075.3125
8000,2391.3611,14455.4723,61929.0237,-517042.914,-438267.05689999997,-455113.89029999997
9000,2409.2695,14377.0161,62348.6394,-517028.346,-437893.42100000003,-454679.70660000003
10000,2347.6719,14298.9729,61543.1681,-515764.9178,-437575.1049,-454221.7497
11000,2378.8297,14379.3224,61797.5762,-515989.1612,-437433.43289999996,-454191.58499999996
12000,2427.2531,14409.0372,61814.4948,-516522.3089,-437871.52379999997,-454707.8141
13000,2421.2278,14327.374,62016.8477,-516695.3586,-437929.9091,-454678.5109
14000,2399.983,14291.8065,62009.2304,-516891.8844,-438190.86449999997,-454882.654
15000,2386.2732,14327.4095,62167.6586,-516625.5248,-437744.18350000004,-454457.8662
16000,2396.5299,14288.9846,61954.7385,-516224.0654,-437583.81240000005,-454269.32690000004
17000,2369.5351,14329.9794,61634.6893,-515666.7015,-437332.4977,-454032.0122
18000,2392.5258,14343.9604,61685.6109,-515562.0141,-437139.91699999996,-453876.40319999994
19000,2391.8736,14432.2253,62168.7009,-516748.7074,-437755.90760000004,-454580.0065
20000,2427.365,14368.3874,61760.272,-516124.419,-437568.3946,-454364.147
21000,2366.7807,14230.9992,61556.4877,-515897.0736,-437742.806,-454340.5859
22000,2387.4872,14334.7239,62364.7979,-516983.6856,-437896.6766,-454618.8877
23000,2403.6335,14390.5811,62294.9181,-517009.4675,-437920.3348,-454714.5494
24000,2371.5509,14389.8186,62187.0008,-516620.2991,-437671.9288,-454433.2983
25000,2422.021,14378.3103,61725.3181,-515419.5372,-436893.8878,-453694.21910000005
26000,2376.9429,14406.2653,62277.0151,-517604.1663,-438543.94299999997,-455327.15119999996
27000,2393.4263,14310.7329,62381.5769,-516735.3923,-437649.65619999997,-454353.8154
28000,2372.2306,14336.2223,61725.3101,-515885.8755,-437452.11250000005,-454160.5654
29000,2420.9817,14413.7764,61509.3965,-515401.5592,-437057.4046,-453892.1627
30000,2385.5535,14357.5329,62131.0523,-516690.0791,-437815.94039999996,-454559.0268
31000,2381.6465,14243.5647,62110.7799,-516507.8599,-437771.8688,-454397.07999999996
