step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2395.6155,14384.1303,62220.4755,-516180.3927,-437180.1714,-453959.9172
2000,2375.0556,14281.6672,61874.6746,-515504.8915,-436973.4941,-453630.2169
3000,2377.4437,14351.0366,62381.4738,-516061.0435,-436951.08940000006,-453679.56970000005
4000,2395.4721,14345.779,61465.5739,-515620.8438,-437414.01879999996,-454155.26989999996
5000,2369.9216,14231.4675,62213.969,-516285.3883,-437470.0302,-454071.4193
6000,2359.4954,14340.6763,62291.9557,-516801.0322,-437808.9048,-454509.0765
7000,2397.8015,14319.2749,61966.6055,-515552.4659,-436868.784,-453585.8604
8000,2395.2056,14287.1967,61971.8068,-515843.0683,-437188.85919999995,-453871.26149999996
9000,2377.9397,14297.0485,62266.2175,-515959.1225,-437017.9168,-453692.905
10000,2378.1799,14436.5295,62064.2666,-516636.2342,-437757.25820000004,-454571.9676
11000,2400.551,14286.517,62358.4641,-516568.1312,-437522.5991,-454209.6671
12000,2393.2747,14308.8593,61920.99,-516454.0367,-437830.9127,-454533.0467
13000,2372.2052,14207.3191,62237.8472,-516547.6509,-437730.2794,-454309.8037
14000,2369.2785,14322.3876,62100.0511,-515993.2466,-437201.5294,-453893.19550000003
15000,2396.7178,14425.7771,61805.3238,-515644.1737,-437016.355,-453838.8499
16000,2388.2177,14414.7673,62081.5187,-516409.1909,-437524.6872,-454327.6722
17000,2358.7108,14375.8013,61933.0348,-516076.2001,-437408.6532,-454143.1653
18000,2400.8655,14311.7204,61821.7627,-516100.0606,-437565.71200000006,-454278.2979
19000,2411.7395,14356.8585,62105.495,-516578.113,-437704.02,-454472.618
20000,2405.6064,14397.0622,62533.6259,-516663.1256,-437326.8311,-454129.49970000004
21000,2409.2309,14356.2036,62436.5509,-516930.6246,-437728.6392,-454494.07369999995
22000,2409.9677,14316.5945,62021.2487,-516276.2845,-437528.4736,-454255.0358
23000,2369.1126,14358.1749,62464.8134,-517072.7506,-437880.64970000007,-454607.93720000004
24000,2372.1355,14359.8658,62174.6807,-516529.8441,-437623.16209999996,-454355.16339999996
25000,2389.2806,14454.276,61778.8134,-515249.475,-436627.105,-453470.6616
26000,2365.5847,14286.8234,62133.2108,-516237.5114,-437451.8925,-454104.3006
27000,2377.8167,14370.0651,61805.3391,-515807.5556,-437254.3347,-454002.21650000004
28000,2393.5535,14366.1409,61750.1937,-515597.0272,-437087.13910000003,-453846.8335
29000,2397.607,14347.916,61809.3069,-516435.8151,-437880.9852,-454626.5082
30000,2348.6064,14216.4839,61958.7127,-516250.0061,-437726.2031,-454291.2934
31000,2386.234,14435.2306,61849.2761,-516214.2055,-437543.46479999996,-454364.92939999996
32000,2405.591,14348.8412,62175.3115,-516018.5298,-437088.7861,-453843.2183
33000,2391.6829,14326.6138,61912.071,-515725.2286,-437094.86089999997,-453813.1576
34000,2419.1524,14381.7622,61554.4165,-515956.7237,-437601.39259999996,-454402.3072
35000,2332.6274,14295.7784,62214.9655,-516575.0749,-437731.7036,-454360.1094
36000,2370.3725,14323.7059,62017.6325,-516384.8517,-437673.1408,-454367.2192
37000,2364.6432,14325.8274,61643.3224,-516098.2988,-437764.5058,-454454.9764
38000,2388.8959,14377.9949,61583.9489,-515571.4505,-437220.61079999997,-453987.50159999996
39000,2350.844,14319.1866,62393.3259,-516577.0787,-437513.7222,-454183.7528
40000,2368.3985,14261.1034,61854.974,-516004.0154,-437519.53949999996,-454149.0414
41000,2381.5696,14350.8349,61809.1466,-516056.8349,-437515.28380000003,-454247.68830000004
42000,2403.6507,14409.063,62297.4181,-516701.1359,-437591.0041,-454403.7178
43000,2394.3754,14313.7332,62421.8069,-516285.7031,-437155.7876,-453863.89619999996
44000,2419.7853,14291.6996,62333.0722,-516701.4902,-437656.9331,-454368.418
45000,2364.5812,14386.02,61545.8459,-515462.5553,-437166.1082,-453916.7094
46000,2376.3035,14240.9781,61808.2888,-515720.647,-437295.07660000003,-453912.3582
47000,2375.5213,14291.2142,62279.0175,-516850.4437,-437904.69070000004,-454571.4262
48000,2387.674,14325.5638,61837.3487,-515874.6373,-437324.05079999997,-454037.28859999997
49000,2372.2364,14283.6913,61383.3824,-515470.2985,-437430.9884,-454086.9161
50000,2410.267,14475.1181,61815.7286,-516010.9849,-437309.8712,-454195.2563
51000,2398.2569,14319.9471,62217.4965,-516471.1526,-437535.4521,-454253.65609999996
52000,2407.7316,14311.3276,61803.1687,-516254.3478,-437732.1199,-454451.1791
53000,2408.6119,14405.3105,62106.3507,-517101.5082,-438181.2351,-454995.1575
54000,2357.7059,14365.3802,62633.997,-517300.6436,-437943.5605,-454666.6466
55000,2390.8427,14268.8585,62125.6348,-516838.9442,-438053.6082,-454713.3094
56000,2403.9562,14418.464,62031.8156,-516222.3747,-437368.1389,-454190.55909999995
57000,2390.4358,14309.4203,61741.7722,-515982.2926,-437540.6643,-454240.5204
58000,2385.2023,14334.0309,62291.504,-516543.1185,-437532.3813,-454251.61449999997
59000,2387.6888,14277.2103,62299.6603,-516475.5718,-437511.0124,-454175.9115
60000,2380.7452,14348.945,62242.1356,-516013.3393,-437041.5135,-453771.2037
61000,2368.6278,14312.7511,62392.7295,-517701.0341,-438626.9257,-455308.3046
62000,2400.615,14284.8467,62074.4001,-517380.5406,-438620.6788,-455306.1405
63000,2399.1918,14322.9688,62209.2568,-516356.3121,-437424.89469999995,-454147.0553
64000,2363.3917,14290.9178,61972.1195,-515763.581,-437137.152,-453791.4615
65000,2390.4392,14296.8382,61890.3761,-516016.3643,-437438.7108,-454125.9882
66000,2391.2295,14382.5114,62096.2831,-516850.1445,-437980.12049999996,-454753.8614
67000,2403.3206,14295.1277,62019.9245,-516099.5123,-437381.1395,-454079.5878
68000,2401.37,14329.6204,62194.1807,-515753.0296,-436827.85850000003,-453558.8489
69000,2363.0343,14336.5104,61623.4733,-515970.7852,-437647.7672,-454347.3119
70000,2374.8153,14303.8745,62178.1048,-516370.451,-437513.6564,-454192.3462
71000,2363.947,14304.7546,61964.6806,-515606.3092,-436972.927,-453641.6286
72000,2369.6839,14276.2405,62372.4162,-516242.4803,-437224.1397,-453870.0641
73000,2357.7845,14273.0781,62374.1555,-516798.0311,-437793.01300000004,-454423.8756
74000,2361.3626,14325.3295,62063.8064,-515833.2007,-437082.7022,-453769.3943
75000,2378.8033,14372.9355,61523.6386,-515345.4412,-437070.0638,-453821.8026
76000,2379.2428,14239.802,62058.1433,-516481.6414,-437804.45330000005,-454423.4981
77000,2398.013,14370.1921,62342.6837,-516678.1451,-437567.2563,-454335.46140000003
78000,2386.7434,14318.6057,61424.2656,-514955.3354,-436825.72069999995,-453531.0698
79000,2358.7786,14382.9524,62578.5672,-517155.4034,-437835.1052,-454576.8362
80000,2345.6145,14221.6246,61809.6707,-516364.0648,-437987.155,-454554.3941
81000,2409.1324,14200.6345,62013.9938,-515940.2328,-437316.4721,-453926.239
82000,2398.2874,14353.2199,62332.4774,-516039.4239,-436955.4392,-453706.94649999996
83000,2384.9192,14363.6095,62350.4851,-516284.255,-437185.2412,-453933.7699
84000,2371.1342,14219.5982,61703.6455,-516111.7065,-437817.3286,-454408.061
85000,2412.4201,14481.8677,61732.2786,-516117.0508,-437490.4844,-454384.7722
86000,2387.3009,14350.7545,61627.7849,-515887.4735,-437521.63320000004,-454259.6886
87000,2423.5251,14324.8771,62222.5404,-516149.888,-437178.94539999997,-453927.3476
88000,2397.4381,14430.402,62036.5323,-515388.2727,-436523.9003,-453351.74039999995
89000,2403.5585,14328.381,62170.9083,-515904.2322,-437001.38440000004,-453733.3239
90000,2383.5928,14426.015,61433.63,-515162.1175,-436918.8797,-453728.4875
91000,2384.131,14418.9333,62455.8584,-516661.4605,-437402.5378,-454205.6021
92000,2377.587,14249.1671,62037.8776,-516203.2732,-437538.6415,-454165.3956
93000,2369.8106,14242.6357,62361.1182,-516819.3081,-437845.74360000005,-454458.1899
94000,2389.7693,14346.6407,61697.2929,-515725.5098,-437291.80689999997,-454028.2169
95000,2372.3635,14267.2297,61616.3163,-515245.6017,-436989.6922,-453629.2854
96000,2406.4818,14297.3304,62136.6298,-516155.0076,-437314.5656,-454018.3778
97000,2402.5929,14407.4901,62584.1167,-517389.1123,-437994.9126,-454804.99559999997
98000,2394.9658,14396.0114,62146.5721,-517141.5928,-438204.04349999997,-454995.0207
99000,2415.358,14370.0261,61304.8182,-515501.7127,-437411.51039999997,-454196.8945
100000,2381.1543,14269.5562,61517.2081,-515411.9258,-437244.0072,-453894.71770000004
101000,2393.1596,14326.5152,62197.5391,-516352.5745,-437435.3606,-454155.0354
102000,2410.5709,14433.8446,61576.6982,-515304.8453,-436883.7316,-453728.1471
103000,2389.4641,14336.2872,62122.4138,-516650.0228,-437801.8577,-454527.609
104000,2385.5043,14353.299,61820.8038,-515893.8233,-437334.2162,-454073.0195
105000,2423.6015,14414.9895,62163.2109,-516631.8507,-437630.0488,-454468.6398
