step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2374.4153,14366.8624,61510.0715,-514727.2964,-436475.9472,-453217.2249
2000,2393.056,14263.8796,61463.7766,-515291.6066,-437170.8944,-453827.83
3000,2388.4888,14331.4276,61556.7518,-515657.7021,-437381.0339,-454100.9503
4000,2398.0568,14336.5638,61778.039,-515591.9522,-437079.2926,-453813.9132
5000,2383.9447,14350.7553,61476.2566,-515870.3001,-437659.34349999996,-454394.04349999997
6000,2404.3147,14234.4755,61646.7129,-515748.4989,-437462.99580000003,-454101.786
7000,2376.2592,14261.1649,61865.6731,-516356.5674,-437853.4702,-454490.8943
8000,2425.4076,14417.4405,61840.3,-516264.8062,-437581.6581,-454424.5062
9000,2405.9208,14412.8881,61579.4969,-516148.1627,-437749.8569,-454568.66579999996
10000,2400.065,14417.155,62158.1948,-516989.7383,-438014.32350000006,-454831.5435
11000,2353.6707,14334.2097,62321.4733,-517084.4527,-438075.09900000005,-454762.9794
12000,2362.8962,14407.2696,61888.0139,-515872.4814,-437214.3017,-453984.46749999997
13000,2386.1092,14325.9634,62020.4392,-516412.5717,-437680.0599,-454392.13249999995
14000,2379.6294,14276.0694,62249.8233,-516522.2636,-437616.7415,-454272.4403
15000,2347.4736,14361.4284,62102.8951,-517022.6917,-438210.8946,-454919.7966
16000,2378.0158,14245.4402,61886.5789,-516412.3129,-437902.27800000005,-454525.734
17000,2391.2236,14435.9957,61651.8785,-516349.7477,-437870.6499,-454697.8692
18000,2360.9168,14338.8862,62114.2985,-516703.844,-437889.7425,-454589.5455
19000,2391.3555,14228.6633,62241.8649,-516159.056,-437297.1723,-453917.1911
20000,2415.4642,14409.0185,62140.7842,-516484.5465,-437519.2796,-454343.7623
21000,2389.4112,14283.8635,62378.6837,-517227.9638,-438176.0054,-454849.28010000003
22000,2371.2109,14403.7803,61861.3618,-516349.6389,-437713.2859,-454488.2771
23000,2361.7624,14323.5085,61671.245,-516334.3726,-437977.8567,-454663.1276
24000,2351.1368,14281.2192,61885.2173,-516259.1271,-437741.5538,-454373.90979999996
25000,2360.9225,14311.8282,61960.5794,-516620.8316,-437987.50149999995,-454660.2522
26000,2376.0463,14348.9618,61724.3749,-516884.7456,-438435.3626,-455160.3707
27000,2378.8492,14326.4466,62033.2333,-516005.1471,-437266.618,-453971.9138
28000,2409.5033,14453.3829,61774.0264,-516480.9724,-437844.05980000005,-454706.946
29000,2375.5396,14266.8331,61682.9537,-516158.4133,-437833.0869,-454475.4596
30000,2411.0648,14254.8183,62283.2563,-517225.7518,-438276.61240000004,-454942.4955
31000,2375.1547,14351.6489,61677.2182,-516367.2676,-437963.24580000003,-454690.0494
32000,2378.5567,14284.9169,61818.4695,-516057.0443,-437575.10120000003,-454238.5748
33000,2374.835,14321.5017,62044.0393,-516620.1844,-437879.80840000004,-454576.1451
34000,2385.9455,14215.5312,61876.6855,-516043.0716,-437564.9094,-454166.3861
35000,2415.687,14333.1539,61810.8416,-516261.359,-437701.6765,-454450.5174
36000,2353.4901,14301.4704,61951.8132,-516352.6252,-437745.8515,-454400.81200000003
37000,2407.8239,14399.6587,62215.9567,-516675.356,-437651.91670000006,-454459.39930000005
38000,2381.2734,14246.1819,62314.2932,-517314.1166,-438372.3681,-454999.8234
39000,2389.2716,14253.6609,62145.3954,-517196.318,-438407.99010000005,-455050.92260000005
40000,2408.1037,14324.6908,62644.5714,-517533.6484,-438156.2825,-454889.077
41000,2372.7879,14231.3589,61670.7579,-516602.7505,-438327.8458,-454931.9926
42000,2396.7877,14310.0494,62176.0207,-516687.9366,-437805.0788,-454511.9159
43000,2363.7382,14351.2625,62207.1102,-517027.3648,-438105.2539,-454820.2546
44000,2361.2318,14407.675,62355.6479,-517669.8477,-438545.29299999995,-455314.1998
45000,2398.8548,14224.6463,62172.1792,-517162.2007,-438366.5204,-454990.0215
46000,2385.6748,14328.2793,61956.1505,-516639.5433,-437969.4387,-454683.39280000003
47000,2357.9274,14339.5999,62150.7063,-516618.4944,-437770.26080000005,-454467.7881
48000,2373.9215,14159.1001,62209.0366,-516492.7328,-437750.6746,-454283.6962
49000,2358.5377,14369.5087,61979.9335,-515629.5629,-436921.583,-453649.62940000003
50000,2386.9419,14375.7156,61941.1466,-516195.0261,-437491.222,-454253.87950000004
51000,2399.3047,14392.9543,62171.56,-516935.8662,-437972.04720000003,-454764.3062
