step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2330.8678,13859.4469,62317.6432,-516142.2145,-437634.2566,-453824.5713
2000,2372.9875,14014.2943,61829.6112,-515891.4245,-437674.53150000004,-454061.81330000004
3000,2363.8313,13982.592,62046.6416,-516634.3799,-438241.315,-454587.73829999997
4000,2351.3534,13836.2582,62222.3601,-516093.5599,-437683.5882,-453871.1998
5000,2348.0015,13971.8569,62067.5271,-515966.6377,-437579.2522,-453899.1106
6000,2342.7752,13979.2682,61951.583,-515428.133,-437154.50659999996,-453476.55
7000,2367.6149,13930.1867,61785.8416,-515937.2107,-437853.5675,-454151.3691
8000,2336.8537,13957.0168,62416.9657,-516534.9319,-437824.0957,-454117.9662
9000,2380.6278,13968.6992,62211.1397,-515190.3097,-436629.843,-452979.17
10000,2371.8284,13923.412,62208.3306,-516062.9119,-437559.3409,-453854.5813
11000,2325.8706,13886.7113,61137.5605,-514854.0725,-437503.9301,-453716.512
12000,2329.5591,13840.5735,61984.8872,-515454.1382,-437299.1184,-453469.251
13000,2361.625,13773.7466,62016.1849,-516024.7635,-437873.207,-454008.5786
14000,2365.459,13975.9419,61847.9701,-515967.7775,-437778.40650000004,-454119.80740000005
15000,2383.6903,13918.6161,62261.3534,-516651.114,-438087.45420000004,-454389.7606
16000,2380.2755,13984.7464,61926.8224,-516237.6901,-437945.8458,-454310.8677
17000,2395.6713,13884.7754,61650.7766,-515642.1667,-437710.9434,-453991.3901
18000,2357.8875,13939.6075,61834.568,-515733.0328,-437600.96979999996,-453898.46479999996
19000,2386.4572,14013.0412,61743.0469,-515781.7487,-437639.2034,-454038.7018
20000,2408.4252,13917.8309,61997.364,-516280.9121,-437957.292,-454283.5481
21000,2345.3601,13875.9609,62229.2522,-516924.5101,-438473.93690000003,-454695.2579
22000,2350.0126,13907.6098,62115.2243,-516364.6267,-437991.78,-454249.4024
23000,2322.3522,13867.5638,61937.4903,-515910.6066,-437783.2003,-453973.1163
24000,2361.0435,13837.5474,62511.1466,-516494.7141,-437784.9766,-453983.5675
25000,2386.7012,14022.5782,61749.918,-515902.7998,-437743.6024,-454152.8818
26000,2398.424,13867.7834,61817.6432,-515559.6776,-437475.827,-453742.0344
27000,2368.4808,13824.8776,62034.7087,-516235.4058,-438007.3387,-454200.6971
28000,2370.3691,13904.344,61926.5526,-515768.6507,-437567.385,-453842.0981
29000,2366.8368,13766.507,62260.8877,-515698.3705,-437304.139,-453437.4828
30000,2354.6017,13907.5005,62060.356,-516222.8708,-437900.4126,-454162.5148
31000,2388.6595,13939.1021,62368.8211,-516391.7935,-437695.2108,-454022.9724
32000,2358.8426,13815.0183,62240.8696,-516175.7112,-437760.9807,-453934.84160000004
33000,2366.7299,13978.165,61981.4703,-515415.8858,-437089.5206,-453434.4155
34000,2372.4372,13846.7903,61903.8435,-516081.3764,-437958.3054,-454177.5329
35000,2367.7362,13885.6679,61923.6418,-515525.2975,-437348.25159999996,-453601.6557
36000,2357.9919,13847.1648,62395.2852,-516730.9226,-438130.48069999996,-454335.6374
37000,2371.5831,13913.3708,62346.4,-517245.5293,-438614.1754,-454899.1293
38000,2331.7387,13888.4349,62095.3227,-516395.6955,-438080.1992,-454300.37279999995
39000,2359.8315,13953.4916,62111.0549,-516210.665,-437786.287,-454099.6101
40000,2346.3166,13852.7581,61525.0807,-515634.0793,-437909.9239,-454108.9986
41000,2356.8343,13869.1029,61536.8162,-515326.3523,-437563.59890000004,-453789.5361
42000,2340.7788,13943.8849,61951.3174,-515704.3494,-437468.3683,-453753.032
43000,2342.2561,13975.1581,62041.4462,-516049.6451,-437690.7847,-454008.1989
44000,2353.0292,13940.2435,61968.3895,-515590.2242,-437328.56200000003,-453621.8347
45000,2365.371,14011.5267,61753.1431,-515513.2292,-437383.1884,-453760.0861
46000,2344.011,13930.0649,62131.1502,-515959.0919,-437553.8658,-453827.9417
47000,2370.258,13900.5324,61819.794,-516104.661,-438014.07660000003,-454284.867
48000,2341.6065,13912.6067,61706.9085,-515598.5533,-437637.4316,-453891.6448
49000,2361.3142,13930.6871,62535.4247,-516787.5456,-437960.1196,-454252.1209
50000,2337.6072,13905.6268,62157.7749,-516471.6104,-438070.6015,-454313.8355
51000,2354.1497,13895.4472,62240.1568,-516199.3692,-437709.6155,-453959.2124
52000,2382.3944,13923.1824,61851.7582,-515479.1945,-437321.8595,-453627.4363
53000,2321.7039,13756.5531,62060.8996,-515966.8181,-437827.6615,-453905.91849999997
54000,2344.6352,13867.213,62104.9011,-516150.0143,-437833.265,-454045.11319999996
55000,2349.4083,13907.7006,62322.0774,-516987.3688,-438408.1825,-454665.2914
56000,2346.1097,13999.5517,61900.3877,-515600.9209,-437354.8718,-453700.5332
57000,2368.4822,13850.577,62043.1055,-515800.6954,-437538.5307,-453757.5899
58000,2341.6978,13851.2644,62209.4205,-516632.1523,-438229.7696,-454422.7318
59000,2338.5118,13917.5961,62253.9278,-516273.7432,-437763.7075,-454019.8154
60000,2355.1442,13811.53,61999.2213,-515766.5335,-437600.63800000004,-453767.31220000004
61000,2366.8149,14042.5983,62747.0396,-516579.4603,-437423.00749999995,-453832.42069999996
62000,2357.3021,13836.6202,62032.6473,-516408.7015,-438182.13190000004,-454376.0542
63000,2337.5879,13864.3283,62192.6496,-516015.653,-437621.0872,-453823.0034
64000,2348.0759,13917.7654,61565.7202,-515476.1854,-437644.6239,-453910.46520000004
