step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2351.9016,13911.6447,61984.5712,-515596.8616,-437348.7441,-453612.2904
2000,2366.6995,13886.8788,62028.7931,-516117.7262,-437835.3548,-454088.93309999997
3000,2322.5365,13863.0892,62165.5866,-516240.2933,-437889.081,-454074.70670000004
4000,2382.3354,13984.4959,62100.3765,-516187.0961,-437719.8883,-454086.7196
5000,2362.5032,13936.6752,62053.2397,-516256.3617,-437903.9436,-454203.12200000003
6000,2370.3813,13933.7537,62162.279,-515856.9559,-437390.5419,-453694.6769
7000,2336.9268,13820.2933,62121.7703,-515898.8511,-437619.8607,-453777.08080000005
8000,2380.3061,13963.5582,62030.6514,-515941.0207,-437566.505,-453910.3693
9000,2364.611,13911.4721,62076.1971,-516653.2067,-438300.9265,-454577.0096
10000,2368.1756,13862.4411,61921.1788,-515216.9071,-437065.1116,-453295.7283
11000,2349.2808,13919.8329,61749.2834,-515694.7298,-437676.33269999997,-453945.44639999996
12000,2364.8306,13841.0552,61957.9788,-515367.1717,-437203.3071,-453409.1929
13000,2343.8474,13879.9098,61916.5806,-515697.02,-437556.68220000004,-453780.43940000003
14000,2345.4647,13842.4776,62150.3937,-516561.9804,-438223.6444,-454411.5867
15000,2336.6053,13827.8072,62238.4416,-516255.3946,-437852.5405,-454016.953
16000,2374.1276,13911.0507,62537.1708,-517082.3864,-438260.0373,-454545.2156
17000,2350.6071,13916.1286,61835.302,-515726.9556,-437624.9179,-453891.65359999996
18000,2337.3064,13836.2226,61998.2732,-516513.0475,-438341.24529999995,-454514.7743
19000,2383.0265,14018.2726,61749.222,-515370.1912,-437219.6701,-453620.9692
20000,2374.7077,13924.1607,62102.6737,-516196.162,-437794.61990000005,-454093.4883
21000,2355.1861,13964.755,62038.4189,-516245.4459,-437887.0859,-454207.027
22000,2327.288,13910.5577,62681.9864,-516827.6219,-437907.7898,-454145.63550000003
23000,2345.8614,13938.554,61842.732,-516134.2508,-438007.10339999996,-454291.51879999996
24000,2366.0556,13862.3717,62116.3449,-516155.8269,-437811.0547,-454039.48199999996
25000,2388.2351,13889.6395,62379.3947,-516079.2726,-437422.00330000004,-453699.8779
26000,2411.9836,13933.1994,62142.2642,-516572.0518,-438084.6046,-454429.78760000004
27000,2381.3918,13917.5187,62023.1701,-516338.0959,-438016.0153,-454314.9258
28000,2341.9776,13972.0996,61534.9041,-515286.8679,-437437.8866,-453751.9638
29000,2357.2987,13948.2606,61819.1304,-515792.6106,-437667.9209,-453973.4802
30000,2348.3886,13882.1378,62498.002,-517339.5536,-438611.0252,-454841.5516
31000,2368.8423,13942.4972,62140.5229,-516708.5892,-438256.7268,-454568.0663
32000,2402.8587,13989.7325,61137.8528,-515134.4769,-437604.0329,-453996.6241
33000,2360.3694,13935.5559,62062.7923,-516298.3261,-437939.6085,-454235.5338
34000,2365.2899,13854.7087,62046.8239,-516097.1365,-437830.314,-454050.3126
35000,2357.5896,13912.3478,61211.1145,-514783.9567,-437302.90479999996,-453572.84219999996
36000,2355.0197,13925.7885,62077.6656,-516072.4673,-437713.9935,-453994.8017
37000,2333.8121,13912.6472,62265.0198,-516567.8408,-438056.3617,-454302.821
38000,2338.1863,13919.5079,62292.4362,-516827.1113,-438276.98089999997,-454534.6751
39000,2341.3,13995.2755,62188.6122,-516192.8172,-437667.6295,-454004.20499999996
40000,2336.4712,13903.2705,61817.5941,-515598.2446,-437540.9088,-453780.6505
41000,2348.7297,14011.1416,61840.7442,-515810.1301,-437609.5146,-453969.3859
42000,2340.1441,13930.3501,61801.8329,-515440.5846,-437368.2575,-453638.7517
43000,2376.8403,13960.8582,61954.5862,-515563.556,-437271.27129999996,-453608.96979999996
44000,2373.6498,14036.6727,61329.57,-515350.5892,-437610.6967,-454021.0192
45000,2330.0928,13910.3256,61835.5373,-516265.8931,-438189.9374,-454430.35579999996
46000,2362.8621,13910.8167,61958.619,-516725.8624,-438493.5646,-454767.2434
47000,2383.7532,13899.7625,61674.2606,-515962.583,-438004.80669999996,-454288.3224
48000,2319.3704,13935.5736,62400.8053,-516828.8115,-438173.06220000004,-454428.0062
49000,2338.7196,14013.435,61719.0706,-516319.9913,-438248.7661,-454600.9207
50000,2341.3617,14030.7497,62290.7014,-516553.7636,-437890.9508,-454263.0622
51000,2361.0294,13917.9642,62309.1826,-516760.1234,-438171.9472,-454450.9408
52000,2381.2221,13933.836,62519.5603,-516765.3947,-437930.7763,-454245.8344
53000,2368.1366,13961.2566,62062.2343,-516368.6999,-437977.0724,-454306.4656
54000,2379.6471,13965.2987,62407.4968,-517136.1065,-438383.6639,-454728.6097
55000,2358.6205,13897.7326,62252.602,-516918.9194,-438409.9643,-454666.3174
56000,2340.6622,13907.6584,62086.4303,-515733.5478,-437398.7969,-453647.1175
57000,2324.8517,13888.3945,62204.2866,-516097.2339,-437679.7011,-453892.9473
58000,2362.4111,13903.4057,62961.109,-517332.2053,-438105.27949999995,-454371.0963
59000,2346.1512,13997.0022,61811.7389,-515662.9968,-437508.1045,-453851.2579
60000,2377.6226,14062.507,61849.1659,-515850.8986,-437561.6031,-454001.7327
61000,2360.6646,13914.294,61853.6176,-516374.9664,-438246.39019999997,-454521.3488
62000,2329.4574,13888.5481,61544.5415,-515446.5155,-437683.96849999996,-453901.974
63000,2389.1681,13925.8557,62406.9258,-515835.6812,-437113.7316,-453428.7554
64000,2354.0303,14034.6216,62250.5645,-516436.3389,-437797.12249999994,-454185.7744
65000,2353.7788,13883.5125,62343.1286,-516824.689,-438244.26910000003,-454481.5604
66000,2340.3123,13898.5974,61821.1722,-515845.6707,-437785.5888,-454024.4985
67000,2343.0488,13971.4248,62047.7742,-515768.8686,-437406.6208,-453721.0944
68000,2350.5292,13923.8153,61892.713,-515871.8726,-437704.8151,-453979.1596
69000,2365.1548,13891.0306,61999.9245,-515875.6407,-437619.5308,-453875.71619999997
70000,2323.6885,13888.4804,61843.7419,-515570.5178,-437514.60699999996,-453726.77589999995
71000,2349.9759,13909.2983,61756.0661,-515656.4716,-437641.1313,-453900.4055
72000,2368.0749,13898.3457,62158.9156,-516412.288,-437986.9518,-454253.3724
73000,2362.6176,13976.086,62196.4039,-515879.7854,-437344.6779,-453683.3815
74000,2381.9846,13874.3435,62153.8147,-516650.1252,-438239.9824,-454496.3105
75000,2392.9781,13894.2101,62269.3749,-516654.2488,-438097.68570000003,-454384.8739
76000,2328.7872,13862.733,62241.1235,-516470.4262,-438037.7825,-454229.3027
77000,2371.4655,14013.1057,62051.539,-515080.5984,-436644.4882,-453029.0594
78000,2331.2684,13884.6707,61781.4609,-515206.8358,-437209.4358,-453425.3749
79000,2337.293,13908.6695,62009.5873,-515383.1301,-437127.58030000003,-453373.5428
80000,2364.0048,13984.8986,61890.2328,-516003.7951,-437764.6589,-454113.5623
81000,2364.8588,13910.3133,61908.6432,-515841.074,-437657.2587,-453932.43080000003
82000,2374.2655,13928.9169,62233.2284,-516165.8956,-437629.4848,-453932.66719999997
83000,2363.1598,13906.4091,61500.6589,-515345.5882,-437575.3604,-453844.9293
84000,2387.1245,14036.3613,62352.0565,-516037.385,-437261.84270000004,-453685.3285
85000,2354.8942,13946.5909,62031.1596,-516433.6947,-438101.05,-454402.5351
86000,2354.3022,13961.464,62140.6639,-515677.8371,-437221.407,-453537.1732
87000,2348.5421,13920.3479,62168.3907,-516118.7046,-437681.4239,-453950.3139
88000,2335.0426,13905.7281,61903.2055,-515463.7612,-437319.78500000003,-453560.5557
89000,2342.2163,13933.9326,61910.1692,-516082.7835,-437896.4654,-454172.6143
90000,2365.9917,13969.9854,61814.8054,-515559.7102,-437408.9277,-453744.90479999996
91000,2336.8364,13872.5106,62497.0703,-516544.3598,-437837.9425,-454047.28949999996
92000,2348.9251,14028.6621,62075.9618,-516200.9021,-437747.3531,-454124.9403
93000,2362.8608,13944.5772,62481.8619,-516480.2513,-437690.9514,-453998.3894
94000,2385.8645,13960.8159,62246.0402,-515527.7367,-436935.0161,-453281.6965
95000,2356.2911,13962.5605,61824.9516,-515962.6648,-437818.86160000006,-454137.7132
96000,2372.5268,13852.7207,62020.4144,-515521.4861,-437275.8242,-453501.0717
97000,2355.3783,13858.7188,62275.2421,-516228.2117,-437738.8725,-453952.96959999995
98000,2363.1901,13979.4203,61984.4714,-516043.651,-437716.5692,-454059.17960000003
99000,2412.3165,13970.6516,61929.6524,-515955.0923,-437642.47180000006,-454025.4399
100000,2408.3845,13992.0036,62280.0125,-516809.7333,-438129.3327,-454529.7208
101000,2328.6577,13911.5063,62696.0817,-517256.8967,-438320.65099999995,-454560.815
102000,2362.3877,13969.4422,62413.4233,-516829.5976,-438084.34439999994,-454416.17429999996
103000,2383.1151,13923.0248,62169.2244,-516442.3014,-437966.9371,-454273.077
104000,2360.8549,13987.9278,61343.0064,-515250.6424,-437558.8533,-453907.636
105000,2346.902,13937.0854,62126.3658,-516339.8509,-437929.4977,-454213.48510000005
106000,2335.9341,14005.9178,62127.3002,-516690.4294,-438221.2773,-454563.1292
107000,2340.9808,13921.2834,61688.7552,-515406.5859,-437455.5665,-453717.8307
108000,2358.4086,13936.4031,61742.7475,-515775.4172,-437737.858,-454032.6697
109000,2340.7051,13943.3267,62376.4899,-516687.4009,-438026.8792,-454310.911
110000,2348.7104,13888.3442,62393.3332,-516634.1763,-438003.7885,-454240.8431
111000,2343.4441,13943.4195,62188.5235,-515674.9824,-437199.5953,-453486.45889999997
112000,2346.2544,13857.9026,61490.0401,-515227.5754,-437533.3783,-453737.5353
113000,2387.5207,14013.4936,62089.4447,-516490.4153,-437999.95629999996,-454400.9706
114000,2351.059,14001.0531,62138.7214,-516449.4122,-437958.5787,-454310.69080000004
115000,2359.5543,14035.3844,61964.5955,-515595.6372,-437236.103,-453631.0417
116000,2390.1017,14034.7806,62228.3794,-515654.9964,-437001.73470000003,-453426.617
117000,2374.2985,14015.5308,62332.8678,-515773.763,-437051.0659,-453440.89519999997
118000,2378.9249,14036.9091,61991.7458,-516197.0493,-437789.4695,-454205.30350000004
119000,2384.2316,14014.1843,62404.0955,-516506.2074,-437703.696,-454102.1119
120000,2349.443,14027.2474,61982.7969,-515320.9384,-436961.45109999995,-453338.14149999997
121000,2401.6644,14169.6906,61589.4666,-515082.434,-436921.6124,-453492.9674
122000,2338.2108,13963.0601,62257.5544,-516319.9148,-437761.0895,-454062.3604
123000,2372.5187,14011.8843,62368.3405,-516696.9896,-437944.2461,-454328.6491
124000,2361.9889,13988.9931,62255.3465,-516621.8856,-438015.5571,-454366.5391
125000,2397.3356,14045.8459,62213.1119,-515757.2435,-437100.9501,-453544.13159999996
126000,2358.5493,13961.8107,61657.9497,-515119.0887,-437140.77900000004,-453461.139
