window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437969.189085,-454217.856432,4887.715421,4362.738047,4887.715421,13551.504945,4362.738047,13546.660366,115.301207,102.916991,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437779.936744,-454048.931215,2007.670175,1719.995360,2007.670175,4990.649093,1719.995360,5012.706637,107.350124,91.968152,97.573766,0.000000,73.636271,4.659747
3,0.115050,0.080040,-437756.717351,-454035.829323,303.501104,508.520758,303.501104,3394.683710,508.520758,3417.755264,24.292228,40.702001,146.472789,0.191090,131.338041,5.221956
4,0.206340,0.101580,-437731.862169,-453968.381527,345.397823,253.854006,345.397823,2663.064209,253.854006,2700.212450,35.085511,25.786490,186.893286,0.191003,195.723838,5.289140
5,0.316080,0.116750,-437687.282026,-453984.797052,437.552281,197.948347,437.552281,2309.783702,197.948347,2339.819857,51.084229,23.110469,229.940698,0.127683,257.494277,4.825373
6,0.437380,0.124570,-437630.770090,-453922.647541,447.990042,765.575014,447.990042,2138.241796,765.575014,2170.375710,55.806120,95.367680,269.374478,0.128574,294.450661,4.636768
7,0.562620,0.124570,-437576.834561,-453796.052188,305.622365,646.461703,305.622365,2169.342958,646.461703,2188.403979,38.071378,80.529734,307.527062,0.128661,322.739413,4.636190
8,0.683920,0.116750,-437555.421952,-453763.268873,-119.782764,-200.000384,-119.782764,2285.821593,-200.000384,2302.161548,-13.984638,-23.350045,324.798065,5.004162,332.925969,4.130934
9,0.793660,0.101580,-437604.509171,-453842.260277,-403.797343,-385.051258,-403.797343,2656.151801,-385.051258,2671.124874,-41.017734,-39.113507,321.052497,5.004103,329.985707,4.007086
10,0.884950,0.080040,-437636.597332,-453840.675727,-55.812066,34.713783,-55.812066,3361.910805,34.713783,3385.522784,-4.467198,2.778491,313.042920,5.004054,317.045796,4.026615
11,0.952060,0.053470,-437613.349802,-453836.761614,-12.409730,-83.547599,-12.409730,5007.335216,-83.547599,5053.139227,-0.663548,-4.467290,295.476216,7.505941,299.234148,4.028978
12,0.990780,0.023590,-437637.910654,-453849.517569,-634.319518,-329.441007,-634.319518,13726.481092,-329.441007,13915.578966,-14.963597,-7.771513,275.378273,7.507209,285.401791,4.028985
