step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2359.7261,14340.7081,62190.6428,-516424.0027,-437532.9257,-454233.35990000004
2000,2396.2965,14247.7734,62131.7742,-516109.2249,-437333.3808,-453977.4507
3000,2418.5085,14347.2324,61930.0407,-516662.1128,-437966.3312,-454732.0721
4000,2407.3112,14346.2728,62446.9935,-517700.1177,-438499.5402,-455253.1242
5000,2381.7908,14260.1711,62165.3148,-517198.5638,-438391.2871,-455033.249
6000,2394.4809,14220.0611,62196.2497,-516724.7971,-437914.0054,-454528.54740000004
7000,2412.9297,14318.6554,62369.6486,-517296.356,-438195.12230000005,-454926.7074
8000,2411.1549,14303.4204,61829.6501,-515505.5058,-436961.2804,-453675.85569999996
9000,2404.9419,14316.5144,62249.97,-516951.8529,-437980.4266,-454701.88289999997
10000,2397.0443,14427.5196,62075.3834,-516223.879,-437323.9317,-454148.4956
11000,2378.49,14341.5946,61529.8812,-515288.6636,-437038.6978,-453758.7824
12000,2397.8396,14264.2206,62038.0946,-516089.7846,-437389.6298,-454051.69
13000,2364.9446,14203.4894,62376.3637,-516080.7567,-437135.95900000003,-453704.39300000004
14000,2393.8846,14224.8608,62330.2479,-516050.4347,-437101.4414,-453720.18679999997
15000,2387.8669,14303.2073,62283.2669,-516447.3548,-437473.01369999995,-454164.0879
16000,2428.2534,14309.8838,61753.5271,-515362.5911,-436870.9268,-453609.064
17000,2403.7065,14418.3958,62180.4554,-516275.8727,-437273.315,-454095.41730000003
18000,2407.5458,14261.98,62245.8725,-516661.4468,-437746.0485,-454415.5743
19000,2398.0816,14260.9673,62901.357,-517696.8785,-438136.4726,-454795.5215
20000,2379.157,14266.9186,62229.1226,-516326.7441,-437451.5459,-454097.6215
21000,2401.6548,14206.0646,61796.9434,-515395.2256,-436990.5628,-453598.2822
22000,2434.0074,14228.2955,62188.9246,-516113.4086,-437262.18110000005,-453924.48400000005
23000,2418.3928,14297.9016,62496.8625,-516828.9273,-437615.7704,-454332.0648
24000,2369.3334,14333.9593,62344.2016,-516215.6922,-437168.19789999997,-453871.4906
25000,2389.4159,14241.9592,61929.3179,-517095.0595,-438534.3665,-455165.74159999995
26000,2393.7378,14265.7399,62227.2007,-516302.4752,-437415.7968,-454075.2745
27000,2359.8402,14195.6783,61932.0864,-516656.7982,-438169.19330000004,-454724.71180000005
28000,2406.9646,14194.2881,62704.4057,-517180.062,-437874.40359999996,-454475.6563
29000,2428.4457,14265.5189,62351.7622,-517200.9553,-438155.22849999997,-454849.1931
30000,2400.7159,14344.6463,61732.1068,-516212.2117,-437734.7427,-454480.1049
31000,2415.9085,14299.1771,61446.8969,-515928.1765,-437766.194,-454481.2796
32000,2387.4138,14299.8036,62112.3831,-516034.3272,-437234.7267,-453921.9441
33000,2375.5748,14261.4277,62032.6331,-515870.6483,-437201.0127,-453838.0152
34000,2373.0101,14322.6241,62485.1057,-517624.3316,-438443.5917,-455139.22589999996
35000,2424.8327,14322.2774,62269.1817,-516789.9464,-437773.6546,-454520.7647
36000,2431.8868,14314.0315,62206.9498,-516078.2607,-437125.3926,-453871.3109
