step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2403.525,14311.8657,61841.5997,-515728.8542,-437171.8638,-453887.2545
2000,2408.1198,14319.8473,62014.4454,-516066.8372,-437324.42470000003,-454052.3918
3000,2390.8326,14377.5361,61886.3453,-516566.1592,-437911.44519999996,-454679.8139
4000,2390.7471,14312.8185,62270.6272,-517157.7386,-438183.54579999996,-454887.1114
5000,2391.2845,14275.5541,62470.9861,-516981.4415,-437843.6168,-454510.45540000004
6000,2373.9341,14387.4508,61657.8812,-515816.8237,-437397.5576,-454158.9425
7000,2401.2923,14302.4641,61823.4674,-516302.3116,-437775.0878,-454478.8442
8000,2421.1448,14266.7888,62553.5038,-516750.7047,-437509.2673,-454197.2009
9000,2399.8912,14266.144,62002.4356,-516163.7577,-437495.2869,-454161.3221
10000,2391.3573,14296.264,61754.4564,-516138.0973,-437696.0196,-454383.6409
11000,2424.9824,14297.4364,62131.78,-516740.8358,-437886.637,-454609.0558
12000,2377.9747,14220.7901,61191.0189,-515675.828,-437886.04429999995,-454484.80909999995
13000,2403.2901,14239.0825,61970.0337,-515615.1825,-437002.77619999996,-453645.14879999997
14000,2390.3202,14253.723,61941.9892,-516039.1865,-437453.15410000004,-454097.1973
15000,2415.4298,14309.9573,61885.2381,-516166.8204,-437556.1952,-454281.5823
16000,2372.5808,14249.8131,61832.2118,-516262.0371,-437807.4314,-454429.8253
17000,2408.3783,14220.1474,61632.5295,-515851.7275,-437590.6723,-454219.198
18000,2395.9939,14284.5859,62187.5206,-516692.5733,-437824.4729,-454505.0527
19000,2389.042,14228.4164,62220.1308,-516222.7204,-437385.1312,-454002.5896
20000,2434.4121,14374.7755,62102.3782,-516092.5928,-437181.027,-453990.2146
21000,2423.2479,14361.7427,61439.9567,-515531.8462,-437306.89890000003,-454091.88950000005
22000,2408.7869,14239.6762,61674.117,-515841.7023,-437519.1222,-454167.58530000004
23000,2420.9817,14382.2434,62429.8867,-517238.0209,-438004.9091,-454808.1342
24000,2376.0516,14275.8221,62355.7766,-516312.3811,-437304.7308,-453956.6045
25000,2399.4882,14333.6813,62141.8744,-516374.2215,-437499.1776,-454232.3471
26000,2413.3725,14326.6114,61626.1367,-515326.2776,-436960.157,-453700.1409
