step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2401.8836,14296.0984,62415.9795,-516558.3843,-437444.42279999994,-454142.40479999996
2000,2381.9261,14351.0453,61768.4258,-516023.1632,-437521.766,-454254.7374
3000,2371.1226,14269.1938,62293.8204,-517037.3295,-438103.1927,-454743.5091
4000,2396.6768,14253.3356,61911.1406,-516950.4209,-438389.26790000004,-455039.28030000004
5000,2360.2378,14265.1538,62187.4035,-516504.145,-437691.34990000003,-454316.7415
6000,2371.7894,14288.2706,61873.3252,-516261.429,-437728.0438,-454388.1038
7000,2415.3462,14236.4257,61977.809,-516267.5178,-437637.9369,-454289.70879999996
8000,2398.8553,14400.4543,61928.4813,-516212.6751,-437484.8842,-454284.1938
9000,2392.3611,14322.5054,62708.5855,-517224.6748,-437801.2228,-454516.0893
10000,2381.7602,14395.2292,61448.3856,-515510.7728,-437285.3978,-454062.3872
11000,2355.4918,14291.9815,61670.8781,-515497.7476,-437179.3962,-453826.86950000003
12000,2377.3904,14235.6167,62339.9067,-516548.3224,-437595.40859999997,-454208.4157
13000,2415.2987,14270.5707,62557.9863,-517378.3449,-438134.4892,-454820.35860000004
14000,2381.1976,14322.911,62260.7317,-516725.5173,-437760.677,-454464.7856
15000,2391.333,14343.9133,62260.3122,-516378.781,-437383.22250000003,-454118.46880000003
16000,2392.604,14265.2093,61893.0186,-516150.3427,-437599.5108,-454257.32409999997
17000,2389.8629,14314.2255,62106.8228,-516071.4133,-437260.50210000004,-453964.5905
18000,2379.0499,14320.5197,61800.6494,-515741.1315,-437240.9125,-453940.4821
19000,2394.2671,14340.0982,61939.32,-516086.0379,-437412.3526,-454146.7179
20000,2415.3367,14330.3478,62360.5425,-517034.3697,-437928.14269999997,-454673.8272
21000,2376.16,14290.1295,62208.6231,-516233.6531,-437358.7405,-454025.03
22000,2355.0075,14360.7664,61715.2223,-515455.3508,-437024.3546,-453740.1285
23000,2378.3725,14328.4414,62309.8323,-516638.0194,-437621.3732,-454328.1871
24000,2430.6276,14256.5441,61884.9688,-515842.0099,-437269.86939999997,-453957.04110000003
25000,2408.5994,14291.6564,62281.0656,-516280.3668,-437299.0454,-453999.3012
26000,2372.4028,14254.3761,62140.0433,-515214.5432,-436447.721,-453074.4999
27000,2401.3353,14251.0084,61873.5004,-515108.7587,-436582.9146,-453235.2583
28000,2378.6069,14315.9361,61840.5329,-515046.6077,-436511.5318,-453206.0748
29000,2379.8878,14306.9085,61580.3986,-515323.6163,-437056.4214,-453743.2177
30000,2406.0012,14369.0086,61664.153,-515317.2694,-436878.1066,-453653.1164
31000,2452.3418,14307.5183,62287.5061,-515557.332,-436509.9658,-453269.8259
32000,2376.1425,14244.4171,61754.6068,-515706.0414,-437330.875,-453951.4346
33000,2421.8177,14319.1886,61677.4792,-515317.9059,-436899.4204,-453640.4267
34000,2382.3446,14224.9991,61572.3823,-514967.2309,-436787.50490000006,-453394.8486
35000,2415.0661,14248.0287,61597.9606,-515175.1309,-436914.0755,-453577.1703
36000,2417.1785,14268.308,62165.2279,-516458.2824,-437607.568,-454293.0545
37000,2403.5782,14326.8725,62337.1788,-516403.5502,-437335.9207,-454066.3714
38000,2332.2879,14198.0998,61861.4216,-515901.7715,-437509.96219999995,-454040.3499
39000,2395.0735,14304.8926,61905.7901,-515818.5415,-437212.7853,-453912.7514
40000,2391.5869,14268.6387,62164.0223,-516140.5985,-437316.3506,-453976.5762
41000,2380.1595,14246.806,61929.8438,-516178.0711,-437621.2618,-454248.2273
42000,2376.3483,14296.2723,61844.7495,-516002.5865,-437485.2164,-454157.837
43000,2395.7322,14360.0064,61907.4154,-516688.1049,-438024.9509,-454780.6895
