step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2404.2299,14268.4405,61680.928,-516107.6637,-437754.06529999996,-454426.73569999996
2000,2390.9753,14263.8944,61670.0772,-515697.5007,-437372.5538,-454027.4235
3000,2426.4576,14188.8445,62362.554,-516800.6061,-437822.75,-454438.0521
4000,2402.7067,14349.1658,61301.4327,-515609.0267,-437555.7215,-454307.594
5000,2397.3394,14364.9697,61964.8195,-516716.2799,-437989.1513,-454751.46040000004
6000,2417.1115,14316.1365,61706.8711,-515820.5553,-437380.4362,-454113.6842
7000,2383.4845,14351.2703,61586.0618,-515949.9553,-437629.13869999995,-454363.89349999995
8000,2402.2127,14237.5758,61456.0303,-515599.6319,-437503.81309999997,-454143.6016
9000,2395.9915,14304.2637,62212.6577,-516686.1789,-437773.266,-454473.5212
10000,2391.0898,14370.6794,62164.0244,-516517.5233,-437591.7297,-454353.4989
11000,2374.1733,14345.2356,62180.5767,-516245.6021,-437345.6165,-454065.02540000004
12000,2393.0665,14329.6284,62010.5897,-516723.2424,-437989.9578,-454712.6527
13000,2373.249,14325.4685,61751.1404,-516141.049,-437691.1911,-454389.9086
14000,2351.7764,14271.7295,61437.43,-515856.3251,-437795.38920000003,-454418.8951
15000,2406.7704,14273.5797,62517.4491,-516593.1054,-437395.3062,-454075.65630000003
16000,2350.0553,14303.9865,61463.0148,-515640.6746,-437523.618,-454177.6598
17000,2403.2331,14223.6803,62308.7753,-516982.8031,-438047.1144,-454674.02780000004
18000,2388.6528,14254.4795,61707.6794,-515826.6509,-437475.83920000005,-454118.9715
19000,2394.228,14279.315,61750.0305,-516068.4036,-437644.8301,-454318.3731
20000,2401.4949,14219.3654,61842.9991,-516373.9477,-437910.0883,-454530.9486
21000,2389.6168,14221.9947,62211.0598,-516530.2574,-437707.5861,-454319.1976
22000,2405.8239,14358.1816,61656.9998,-516831.9239,-438410.9186,-455174.9241
23000,2381.76,14302.7584,61665.224,-515511.8232,-437162.0808,-453846.5992
24000,2413.475,14288.6665,62288.6065,-517225.5051,-438234.75710000005,-454936.8986
