lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,286.435508,0.104825,273.521044,0.102201
0.115050,587.419006,0.137544,572.774989,0.132315
0.206340,867.770959,0.158217,858.673044,0.152855
0.316080,1097.266890,0.175300,1095.706330,0.169153
0.437380,1252.890949,0.188573,1259.479342,0.184832
0.562620,1323.159396,0.203261,1335.112081,0.198486
0.683920,1302.911481,0.215226,1320.535906,0.210901
0.793660,1202.509445,0.226375,1222.828829,0.222542
0.884950,1039.589006,0.238052,1059.427344,0.234625
0.952060,842.119516,0.249636,858.686519,0.247686
0.990780,637.261473,0.269234,640.782855,0.269639
