step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2337.2212,13734.0296,61878.8699,-515227.0612,-437276.9405,-453348.1913
2000,2347.0356,13762.4123,61796.8025,-515440.1811,-437533.9307,-453643.3786
3000,2371.5035,13765.362,62337.8825,-516204.7119,-437729.9639,-453866.8294
4000,2355.9046,13853.9355,61933.3153,-516471.0733,-438327.9179,-454537.758
5000,2364.8413,13657.2097,62175.0046,-515442.0467,-437244.9911,-453267.0421
6000,2338.7364,13812.6624,61770.6418,-514933.4317,-437011.3911,-453162.78990000003
7000,2373.3027,13710.3378,61796.8797,-514452.6246,-436572.10439999995,-452655.7449
8000,2341.8114,13719.2366,62243.3815,-515230.9871,-436926.55760000006,-452987.6056
9000,2361.8254,13680.8069,61803.4337,-515128.5155,-437282.4495,-453325.0818
10000,2349.5555,13727.1516,61967.4956,-515656.3919,-437612.1892,-453688.89629999996
11000,2363.7108,13803.8092,61670.3192,-515017.49,-437179.6508,-453347.17079999996
12000,2365.0556,13764.4477,61896.5784,-515659.514,-437633.43230000004,-453762.9356
13000,2361.8387,13697.8164,62428.5372,-515386.376,-436898.1837,-452957.83879999997
14000,2362.6626,13729.9941,62480.782,-515626.1448,-437052.7061,-453145.3628
15000,2360.6899,13701.52,61883.5345,-515284.7291,-437338.98470000003,-453401.1946
16000,2342.4022,13683.2374,61931.9903,-514976.6745,-437019.0446,-453044.6842
17000,2348.7028,13784.7631,61585.8344,-514264.6243,-436545.324,-452678.78990000003
18000,2371.1498,13727.0875,62319.4707,-516102.5909,-437684.8829,-453783.1202
19000,2340.5025,13675.2731,61881.0236,-515325.3733,-437428.57409999997,-453444.34969999996
20000,2338.4095,13772.9267,61958.5705,-514518.5503,-436448.6436,-452559.9798
21000,2340.7472,13770.3873,61520.1176,-514948.4876,-437317.2355,-453428.37
22000,2375.5635,13828.3499,62081.3981,-515807.3098,-437521.9983,-453725.9117
23000,2344.6842,13748.709,61705.4597,-515156.6364,-437357.7835,-453451.1767
24000,2375.1131,13719.8866,61323.1372,-514756.272,-437338.1351,-453433.1348
25000,2342.2818,13801.4249,61747.6146,-515393.6639,-437502.3426,-453646.04929999996
26000,2326.5109,13706.9135,61694.5863,-514924.4203,-437196.4096,-453229.834
27000,2312.705,13784.9875,61662.7432,-514916.6985,-437156.2628,-453253.95530000003
