window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1
1,0.009220,0.023590,-437581.107635,-453661.241124,1478.972867,-78.503510,1478.972867,13931.472498,-78.503510,14000.896563,34.888970,-1.851898,0.000000,0.000000
2,0.047940,0.053470,-437523.841805,-453664.280780,3027.206891,2389.436980,3027.206891,5097.302823,2389.436980,5087.467626,161.864752,127.763195,103.963980,282.665884
3,0.115050,0.080040,-437260.738329,-453408.367008,2342.833555,2268.648862,2342.833555,3346.786210,2268.648862,3378.403069,187.520398,181.582655,237.891734,141.341545
4,0.206340,0.101580,-437152.736970,-453304.926800,1651.907927,2242.979716,1651.907927,2630.345334,2242.979716,2638.709003,167.800807,227.841880,380.800788,141.341545
5,0.316080,0.116750,-436928.655279,-452957.460796,1007.777082,1374.259623,1007.777082,2318.189224,1374.259623,2327.642561,117.657974,160.444811,518.114448,141.332691
6,0.437380,0.124570,-436919.900153,-452987.417857,10.644095,-79.992169,10.644095,2163.211880,-79.992169,2172.114832,1.325935,-9.964624,580.983302,141.332691
7,0.562620,0.124570,-436926.031083,-452977.182065,-22.322383,103.621541,-22.322383,2134.641442,103.621541,2150.423887,-2.780699,12.908135,604.055243,141.332692
8,0.683920,0.116750,-436925.403513,-452961.871002,-491.489154,-484.480238,-491.489154,2299.262719,-484.480238,2320.765975,-57.381359,-56.563068,603.257467,141.332691
9,0.793660,0.101580,-437039.584738,-453089.116379,-488.631434,-154.857198,-488.631434,2615.501993,-154.857198,2631.977315,-49.635181,-15.730394,600.362011,141.332691
10,0.884950,0.080040,-437023.633091,-452993.001945,-30.109624,226.189381,-30.109624,3329.376445,226.189381,3361.158163,-2.409974,18.104198,596.162651,141.332692
11,0.952060,0.053470,-437044.354102,-453053.287981,-63.608938,-523.806431,-63.608938,4974.869916,-523.806431,5015.427054,-3.401170,-28.007930,577.609229,141.332691
12,0.990780,0.023590,-437030.364824,-453048.436379,361.293327,125.299643,361.293327,13678.743004,125.299643,13771.241808,8.522910,2.955819,558.634094,141.332691
