window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437581.107635,4403.430392,-453661.241124,4562.489874,1478.972867,13931.472498,-78.503510,14000.896563,34.888970,-1.851898,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437523.841805,4401.365723,-453664.280780,4561.833605,3027.206891,5097.302823,2389.436980,5087.467626,161.864752,127.763195,286.435508,0.104825,273.521044,0.102201
3,0.115050,0.080040,-437260.738329,4398.563095,-453408.367008,4558.847999,2342.833555,3346.786210,2268.648862,3378.403069,187.520398,181.582655,587.419006,0.137544,572.774989,0.132315
4,0.206340,0.101580,-437152.736970,4396.895008,-453304.926800,4557.604847,1651.907927,2630.345334,2242.979716,2638.709003,167.800807,227.841880,867.770959,0.158217,858.673044,0.152855
5,0.316080,0.116750,-436928.655279,4394.143986,-452957.460796,4553.264111,1007.777082,2318.189224,1374.259623,2327.642561,117.657974,160.444811,1097.266890,0.175300,1095.706330,0.169153
6,0.437380,0.124570,-436919.900153,4394.890007,-452987.417857,4554.400486,10.644095,2163.211880,-79.992169,2172.114832,1.325935,-9.964624,1252.890949,0.188573,1259.479342,0.184832
7,0.562620,0.124570,-436926.031083,4395.203176,-452977.182065,4554.639939,-22.322383,2134.641442,103.621541,2150.423887,-2.780699,12.908135,1323.159396,0.203261,1335.112081,0.198486
8,0.683920,0.116750,-436925.403513,4394.359237,-452961.871002,4553.455643,-491.489154,2299.262719,-484.480238,2320.765975,-57.381359,-56.563068,1302.911481,0.215226,1320.535906,0.210901
9,0.793660,0.101580,-437039.584738,4395.550708,-453089.116379,4554.848773,-488.631434,2615.501993,-154.857198,2631.977315,-49.635181,-15.730394,1202.509445,0.226375,1222.828829,0.222542
10,0.884950,0.080040,-437023.633091,4395.316457,-452993.001945,4553.720222,-30.109624,3329.376445,226.189381,3361.158163,-2.409974,18.104198,1039.589006,0.238052,1059.427344,0.234625
11,0.952060,0.053470,-437044.354102,4395.742709,-453053.287981,4554.690799,-63.608938,4974.869916,-523.806431,5015.427054,-3.401170,-28.007930,842.119516,0.249636,858.686519,0.247686
12,0.990780,0.023590,-437030.364824,4395.383566,-453048.436379,4554.381613,361.293327,13678.743004,125.299643,13771.241808,8.522910,2.955819,637.261473,0.269234,640.782855,0.269639
