step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2306.8339,13663.1588,61587.6678,-514459.0335,-436901.373,-452871.3657
2000,2351.7479,13719.9915,62364.9005,-515192.3528,-436755.7129,-452827.4523
3000,2356.0107,13713.7085,62343.8464,-515597.6654,-437184.09979999997,-453253.819
4000,2349.0647,13788.8673,62369.4577,-515714.2891,-437206.8994,-453344.8314
5000,2366.3293,13744.5718,61979.3371,-514143.9733,-436053.73510000005,-452164.6362
6000,2382.2691,13775.7523,62121.9008,-514795.4097,-436515.48750000005,-452673.5089
7000,2351.9445,13696.1783,61812.9458,-514650.4554,-436789.3868,-452837.5096
8000,2353.8992,13685.6684,62131.5491,-515465.3015,-437294.1848,-453333.7524
9000,2378.8722,13808.082,61238.9902,-514810.4525,-437384.5081,-453571.4623
10000,2360.2185,13793.1405,61701.7069,-515331.3182,-437476.2523,-453629.6113
11000,2377.3063,13760.847,61337.5644,-515082.9766,-437607.2589,-453745.4122
12000,2364.3967,13776.9895,61661.1882,-515434.4404,-437631.86600000004,-453773.25220000005
13000,2383.0269,13752.8137,61709.3442,-514893.6079,-437048.4231,-453184.2637
14000,2386.0273,13776.9907,62503.8265,-516284.6938,-437617.8493,-453780.8673
15000,2348.1106,13667.6891,61468.5033,-514479.0835,-436994.7805,-453010.5802
16000,2399.3637,13733.1238,61938.9691,-515206.7858,-437135.32920000004,-453267.8167
17000,2374.5161,13717.3169,61484.6791,-514124.5014,-436547.9893,-452639.8223
18000,2384.9005,13717.3037,61650.8394,-515716.0516,-437963.00800000003,-454065.2122
19000,2347.9096,13837.026,61716.4203,-515572.8541,-437671.49820000003,-453856.4338
20000,2348.9926,13730.9363,62448.2177,-516386.4786,-437858.33199999994,-453938.2609
21000,2350.8937,13730.3865,61873.5155,-515799.8164,-437845.0207,-453926.30090000003
22000,2381.5271,13777.9226,62129.9198,-515323.0769,-437033.70739999996,-453193.15709999995
23000,2366.0718,13779.9013,62003.0816,-514675.5614,-436526.5067,-452672.47980000003
24000,2383.1722,13736.4371,61947.0791,-515499.2025,-437432.51410000003,-453552.12340000004
25000,2345.6356,13678.3177,62183.4165,-515544.7917,-437337.4219,-453361.3752
26000,2352.3763,13752.885,62165.2967,-515370.5606,-437100.0026,-453205.2639
27000,2372.7149,13878.6635,62082.2926,-514940.5303,-436606.8593,-452858.2377
28000,2371.7991,13747.382,62608.9864,-516126.4404,-437398.27290000004,-453517.454
29000,2355.2042,13738.6681,62178.8968,-515522.8463,-437250.07719999994,-453343.9495
30000,2319.2684,13730.9837,62097.7232,-514736.0167,-436588.0414,-452638.29349999997
31000,2305.556,13613.1629,62607.395,-515552.2816,-437026.1677,-452944.88659999997
32000,2394.5272,13723.0593,62346.6694,-515574.7472,-437110.4913,-453228.07779999997
33000,2359.5912,13839.6957,61729.6924,-514940.5124,-437011.5331,-453210.82
