step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2413.2459,14352.5745,61954.3659,-516048.749,-437328.5627,-454094.38310000004
2000,2353.5942,14163.5221,61975.1171,-516208.88,-437716.6466,-454233.7629
3000,2390.7217,14261.2514,61377.249,-515056.5412,-437027.31909999996,-453679.29219999997
4000,2361.5995,14265.2891,62327.5299,-516742.5261,-437788.1076,-454414.9962
5000,2371.7628,14257.2016,61950.184,-515971.5596,-437392.4112,-454021.37559999997
6000,2344.4813,14241.8795,62088.0373,-516327.0757,-437652.6776,-454239.03839999996
7000,2374.0315,14220.3426,61971.5066,-516239.8599,-437673.97919999994,-454268.35329999996
8000,2424.4583,14304.2829,61945.6172,-515463.3258,-436788.96739999996,-453517.7086
9000,2411.0546,14215.2416,62205.164,-515868.4489,-437036.9887,-453663.2849
10000,2347.3652,14299.4624,61889.2997,-515805.1868,-437269.05950000003,-453915.88710000005
11000,2363.3046,14247.2967,61722.3169,-515435.6986,-437102.7804,-453713.3817
12000,2367.455,14264.1088,62072.6307,-516007.7058,-437303.5113,-453935.0751
13000,2362.5324,14305.8506,62178.6783,-515861.1559,-437014.0946,-453682.4776
14000,2345.2714,14217.3321,61513.3592,-515778.2665,-437702.3038,-454264.9073
15000,2370.1552,14301.267,61151.5163,-514861.9825,-437039.044,-453710.46619999997
16000,2406.0077,14362.0975,61954.1816,-515793.3198,-437071.033,-453839.1382
17000,2382.0764,14137.9096,61537.4699,-515264.6714,-437207.2155,-453727.20149999997
18000,2352.3168,14221.4153,62043.7622,-515512.2821,-436894.78780000005,-453468.5199
19000,2350.441,14261.0966,61121.0652,-515528.3445,-437795.7417,-454407.2793
20000,2391.1328,14281.1646,61827.2962,-515761.8749,-437262.28130000003,-453934.5787
21000,2366.3817,14211.2574,62097.9527,-516134.8972,-437459.3054,-454036.9445
22000,2351.5097,14215.3312,61232.4305,-514302.5278,-436503.25639999995,-453070.09729999996
23000,2387.3652,14314.351,62386.8926,-517082.8863,-437994.2775,-454695.9937
24000,2414.5045,14400.8298,62015.7186,-516825.8698,-437994.8169,-454810.15119999996
25000,2446.2229,14337.2781,61773.7003,-516117.8465,-437560.64519999997,-454344.14619999996
26000,2380.6129,14296.6882,62168.2817,-515667.8792,-436822.2964,-453499.59750000003
27000,2368.6029,14309.8552,62166.8277,-516790.5775,-437945.2917,-454623.7498
28000,2396.6301,14286.6856,61677.4388,-515747.1926,-437386.4381,-454069.7538
29000,2409.7268,14362.3706,61663.5923,-515777.9533,-437342.2636,-454114.361
30000,2354.3583,14229.8609,61936.1653,-515998.4411,-437478.0566,-454062.2758
31000,2383.8287,14410.1991,62308.6612,-516872.1732,-437769.4842,-454563.512
32000,2385.4099,14344.9143,62098.5729,-516595.6576,-437766.7605,-454497.0847
33000,2399.6547,14233.3944,61768.7524,-515898.9784,-437497.1769,-454130.226
34000,2401.6847,14261.453,61869.1301,-515463.1838,-436930.91599999997,-453594.0537
35000,2402.1118,14345.7908,61867.9927,-516414.8273,-437798.93200000003,-454546.8346
36000,2384.1137,14308.1354,62468.0206,-517324.0768,-438163.8071,-454856.0562
37000,2376.1791,14252.7008,61750.1457,-515117.7549,-436738.7293,-453367.6092
38000,2387.0111,14331.566,61924.9871,-516269.7336,-437626.1694,-454344.7465
39000,2373.2094,14317.785,61901.8213,-516411.9806,-437819.1649,-454510.1593
40000,2418.1774,14324.0764,61503.2646,-515730.7114,-437485.19299999997,-454227.4468
41000,2397.3832,14307.5878,62351.8121,-517557.5567,-438500.7736,-455205.74460000003
42000,2368.4041,14310.3179,62386.3203,-517199.1932,-438134.1509,-454812.87289999996
43000,2365.4547,14269.6086,62380.3133,-516855.959,-437840.58239999996,-454475.6457
44000,2372.6146,14323.3716,61761.0011,-516164.4777,-437707.4904,-454403.4766
45000,2405.9574,14249.0022,61884.5786,-515683.3516,-437143.8134,-453798.773
46000,2380.4122,14306.3093,61575.244,-515060.5087,-436798.5432,-453485.2647
47000,2373.0726,14213.4593,62044.4665,-515519.4247,-436888.42629999993,-453474.9582
48000,2405.7542,14368.7377,62155.7885,-516126.7029,-437196.4225,-453970.91439999995
49000,2374.5442,14375.1498,61867.6584,-516289.0221,-437671.66969999997,-454421.3637
50000,2400.3268,14376.7634,62191.0269,-516804.9436,-437836.82649999997,-454613.9167
51000,2379.1316,14268.5568,61647.3669,-515551.4031,-437256.3478,-453904.0362
52000,2378.0785,14299.3951,61662.4936,-515712.626,-437372.6588,-454050.1324
53000,2342.7834,14244.1207,61584.9547,-515086.1959,-436914.3371,-453501.2412
54000,2416.1958,14330.9659,62286.5246,-516628.965,-437595.2787,-454342.4404
55000,2376.4091,14365.2177,61960.3951,-516368.2707,-437666.2488,-454407.87559999997
56000,2401.2141,14330.4176,62191.1538,-516779.4119,-437856.6264,-454588.2581
57000,2371.6911,14204.7971,61904.6182,-515731.6565,-437250.5501,-453827.0383
58000,2390.1502,14255.3578,61900.9732,-516392.2558,-437845.7746,-454491.2826
59000,2406.0448,14282.6022,62393.3153,-516934.4927,-437852.5304,-454541.1774
60000,2356.5846,14236.7204,62551.8916,-517540.9787,-438395.78209999995,-454989.0871
61000,2367.0176,14288.3561,62538.4642,-517420.4596,-438226.6217,-454881.9954
62000,2381.0712,14271.3249,62340.2397,-516873.4985,-437880.8627,-454533.2588
63000,2391.6453,14346.3373,61877.5983,-516599.277,-437983.6961,-454721.6787
64000,2383.5544,14269.3678,61677.3496,-515050.649,-436720.3772,-453373.29939999996
65000,2412.4104,14298.3425,61994.3267,-515889.4499,-437184.3703,-453895.12320000003
66000,2399.0135,14310.7885,62158.1971,-516395.6509,-437527.6518,-454237.4538
67000,2416.8655,14342.8718,61911.331,-515937.3997,-437266.3314,-454026.0687
68000,2383.4519,14280.9643,61789.1053,-515610.2441,-437156.7226,-453821.1388
69000,2362.9825,14321.5965,62324.7376,-516051.6475,-437042.33090000006,-453726.9099
70000,2402.4867,14341.4329,62115.2876,-516696.0573,-437836.8501,-454580.7697
71000,2429.3252,14307.3363,62574.6082,-517023.4779,-437712.2082,-454448.8697
72000,2349.1009,14288.5212,61452.5869,-515312.9082,-437222.69920000003,-453860.3213
73000,2384.6437,14363.0454,61648.7223,-516183.0753,-437786.66390000004,-454534.353
74000,2369.0845,14326.0721,62291.2643,-516823.5832,-437837.16229999997,-454532.3189
75000,2364.275,14245.3755,61822.2873,-516119.4256,-437687.4878,-454297.1383
76000,2367.0583,14241.7975,61819.4866,-515914.4945,-437486.15209999995,-454095.00789999997
77000,2389.3238,14366.488,61934.7179,-516366.1953,-437675.6656,-454431.47740000003
78000,2372.3389,14195.8681,61906.1019,-516819.3663,-438345.0574,-454913.2644
79000,2357.7824,14329.6903,61839.8355,-515559.8419,-437032.5337,-453720.0064
80000,2397.7334,14268.164,61809.8902,-516167.6137,-437691.82609999995,-454357.72349999996
81000,2389.3172,14363.2909,62049.8719,-516206.748,-437404.26800000004,-454156.8761
82000,2352.007,14305.5765,62694.5555,-517791.2711,-438439.13210000005,-455096.7156
83000,2411.3551,14325.4867,62029.9744,-516331.2957,-437564.4795,-454301.3213
84000,2376.1054,14331.6547,62416.4786,-516816.8978,-437692.6591,-454400.4192
85000,2351.7245,14228.082,61888.8443,-516392.7647,-437924.1139,-454503.9204
86000,2404.9209,14319.1624,62535.8512,-517392.8678,-438132.93330000003,-454857.01660000003
87000,2370.9429,14318.0338,62140.1855,-516160.7404,-437331.5782,-454020.5549
88000,2395.7506,14398.272,61620.0185,-515822.5682,-437408.52709999995,-454202.5497
89000,2387.2941,14349.061,61563.1051,-515412.819,-437113.35880000005,-453849.71390000003
90000,2365.7824,14309.584,61914.9942,-516433.4482,-437843.08759999997,-454518.45399999997
91000,2378.8939,14289.9051,61789.1055,-516427.867,-437969.9625,-454638.7615
92000,2381.093,14317.7907,62293.9881,-517084.1973,-438091.32550000004,-454790.2092
93000,2395.5998,14268.7804,61752.4506,-515725.6402,-437308.8094,-453973.18960000004
94000,2384.8968,14287.9815,62057.2682,-515589.7729,-436859.62639999995,-453532.5047
95000,2394.9385,14386.0649,62048.8149,-516231.8923,-437402.074,-454183.0774
96000,2408.8657,14385.4389,62056.8136,-516072.6672,-437221.549,-454015.85360000003
97000,2397.7737,14298.1016,61694.204,-516109.9153,-437719.836,-454415.71129999997
98000,2398.5451,14286.4905,61736.4553,-515705.3886,-437283.8977,-453968.93330000003
99000,2355.5103,14278.3871,62066.4249,-516443.7654,-437743.4431,-454377.3405
100000,2380.9692,14246.1311,61919.1437,-515565.3868,-437019.1428,-453646.24309999996
101000,2353.987,14300.8621,62139.3148,-516454.3484,-437660.18450000003,-454315.0336
102000,2437.8333,14304.1167,61950.6813,-515344.3058,-436651.67449999996,-453393.6245
103000,2403.3262,14329.0782,61546.8155,-515183.183,-436903.96310000005,-453636.36750000005
104000,2368.0631,14260.0867,61225.3944,-514536.0662,-436682.522,-453310.6718
105000,2377.1568,14294.1721,61611.5352,-515822.1872,-437539.3231,-454210.652
106000,2396.118,14334.7242,62666.303,-517228.3841,-437831.2389,-454562.0811
107000,2382.2625,14172.7946,61602.847,-515746.7581,-437588.854,-454143.91109999997
108000,2374.798,14269.4974,62135.637,-516823.3225,-438043.3901,-454687.6855
109000,2374.8557,14210.2657,62456.998,-516846.1733,-437804.05390000006,-454389.1753
110000,2353.841,14302.5192,62052.4935,-516238.8085,-437529.9548,-454186.315
111000,2356.7459,14296.7184,62476.8879,-517065.6272,-437935.275,-454588.7393
112000,2375.6717,14264.9016,62037.2094,-516392.2615,-437714.47880000004,-454355.05210000003
113000,2416.0557,14296.8351,62483.6907,-517130.3437,-437933.7622,-454646.65300000005
114000,2387.0977,14280.597,62476.7522,-516699.2248,-437554.7779,-454222.47260000004
115000,2420.5882,14423.2355,61844.924,-516285.5657,-437596.81799999997,-454440.6417
116000,2350.8338,14247.3382,62316.7734,-516553.8942,-437638.9488,-454237.1208
117000,2368.2183,14271.1364,61807.5144,-516389.0043,-437942.13519999996,-454581.4899
118000,2396.3153,14315.9289,61330.7229,-514950.6624,-436907.69529999996,-453619.9395
119000,2393.043,14423.8128,62373.0369,-515792.581,-436602.68830000004,-453419.5441
120000,2389.5242,14295.9515,61980.1195,-516596.8807,-437931.2855,-454616.76119999995
121000,2400.0661,14248.4906,62263.9787,-516224.1323,-437311.5969,-453960.1536
122000,2422.3559,14344.0485,61697.703,-516073.8467,-437609.7393,-454376.1437
123000,2403.6494,14306.1396,61847.2208,-516267.253,-437710.2432,-454420.0322
124000,2383.1418,14382.7264,62048.5607,-515773.6835,-436959.2546,-453725.1228
125000,2393.3338,14291.1812,62069.2086,-516061.1912,-437307.4676,-453991.9826
126000,2390.5689,14341.4685,61671.0696,-515964.7705,-437561.66349999997,-454293.7009
127000,2378.6964,14199.3519,61835.9427,-516313.4805,-437899.4895,-454477.5378
128000,2378.6912,14326.1438,62061.7739,-516496.2385,-437729.6296,-454434.46459999995
129000,2401.1935,14257.5908,62060.8972,-516151.726,-437432.0445,-454090.8288
130000,2445.0526,14366.5717,62650.5375,-516748.7766,-437286.6148,-454098.2391
131000,2374.2127,14264.9208,62243.9946,-517009.1324,-438126.00430000003,-454765.1378
132000,2381.1605,14280.9832,61641.501,-515994.8893,-437691.2446,-454353.3883
133000,2373.6483,14249.4779,61968.8253,-516575.5727,-437983.62120000005,-454606.7474
134000,2411.4003,14370.1187,61926.0446,-516490.1266,-437782.563,-454564.082
135000,2396.4532,14302.8297,62162.0109,-516677.7065,-437816.4127,-454515.6956
136000,2418.9504,14427.8996,62025.1871,-516072.499,-437200.4619,-454047.31190000003
137000,2407.2045,14268.2006,62031.9511,-515353.3193,-436645.9631,-453321.36819999997
138000,2380.78,14254.5101,61844.1148,-516504.728,-438025.32310000004,-454660.6132
139000,2383.78,14269.7761,62044.5517,-515916.4101,-437218.3023,-453871.85839999997
140000,2361.2066,14280.3533,62538.3191,-516821.03,-437641.151,-454282.7109
141000,2379.3186,14327.6941,62400.9211,-516353.2347,-437245.3009,-453952.3136
142000,2364.8532,14262.1767,62140.2099,-516359.6018,-437592.36199999996,-454219.3919
143000,2374.9154,14369.8848,62388.0204,-516933.5303,-437800.7097,-454545.5099
144000,2422.546,14177.0376,62181.1532,-516120.8269,-437340.0901,-453939.6737
145000,2384.8897,14246.1554,61919.9855,-514733.3769,-436182.3463,-452813.39139999996
146000,2377.3147,14175.5019,62121.2525,-515920.4704,-437246.4013,-453799.2179
147000,2376.6628,14197.1579,62446.7218,-516830.9617,-437810.4192,-454384.2399
148000,2387.9966,14317.9513,61944.2622,-516316.8261,-437666.61600000004,-454372.5639
149000,2370.701,14273.893,62149.3919,-516562.3189,-437768.333,-454412.927
150000,2389.4065,14212.3766,61609.2081,-514676.7473,-436465.7561,-453067.5392
151000,2396.2218,14246.6208,61931.0903,-515456.9327,-436882.9998,-453525.8424
152000,2419.7026,14251.072,62153.009,-516686.7812,-437862.9976,-454533.7722
153000,2358.5959,14269.9396,61540.1619,-515425.6067,-437256.9093,-453885.4448
154000,2388.5415,14346.3708,61454.3281,-515193.3195,-437004.0791,-453738.9914
155000,2388.3021,14308.1305,61907.1976,-516378.464,-437774.83379999996,-454471.26639999996
156000,2398.8974,14256.6599,62118.6217,-516603.7921,-437829.6131,-454485.1704
157000,2377.0862,14342.5429,62219.1885,-516796.1167,-437857.2991,-454576.9282
158000,2366.8252,14211.55,62051.109,-516419.4949,-437790.0107,-454368.3859
159000,2387.8161,14348.9504,62322.5758,-517074.9032,-438015.56090000004,-454752.3274
160000,2350.1481,14246.5609,62359.6265,-515643.5525,-436687.217,-453283.926
161000,2381.0996,14325.1961,62403.8591,-516679.441,-437569.2862,-454275.5819
162000,2349.3643,14249.4361,61886.809,-515761.8191,-437276.2097,-453875.0101
163000,2392.9127,14255.4797,62346.2039,-516130.2524,-437135.6561,-453784.0485
164000,2369.6609,14276.9215,61984.8065,-515711.2336,-437079.8447,-453726.4271
165000,2371.6658,14327.2356,61791.2347,-515491.6384,-437001.5023,-453700.4037
166000,2382.1364,14290.6983,61338.5221,-514942.5776,-436931.2208,-453604.0555
167000,2387.2474,14204.6418,62066.0305,-515403.3575,-436745.43779999996,-453337.327
168000,2395.5104,14325.3692,62245.9903,-516732.1437,-437765.2738,-454486.1534
