step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2385.999,14337.2647,61735.1086,-515826.4627,-437368.0904,-454091.3541
2000,2373.169,14372.0116,61763.0528,-515916.4494,-437408.216,-454153.3966
3000,2372.8921,14310.2321,61515.2257,-514780.7342,-436582.38430000003,-453265.5085
4000,2391.1599,14329.2936,62308.9187,-517033.1863,-438003.8141,-454724.2676
5000,2381.4356,14381.4745,62109.635,-516309.9548,-437437.4097,-454200.3198
6000,2377.6265,14172.205,61730.9488,-516032.999,-437752.2187,-454302.0502
7000,2370.4139,14256.2744,62200.7367,-516242.3049,-437414.8799,-454041.5682
8000,2379.982,14308.0471,61781.9136,-515729.896,-437259.9533,-453947.9824
9000,2419.0747,14376.4424,62217.668,-516361.5172,-437348.3321,-454143.8492
10000,2370.5149,14191.474,61274.6212,-514811.675,-436975.0649,-453537.0538
11000,2381.7593,14272.6054,61649.6597,-515892.3307,-437588.3063,-454242.671
12000,2375.085,14227.7809,62212.3564,-515809.9867,-436994.7644,-453597.6303
13000,2329.2812,14271.6763,61860.4473,-516630.5435,-438169.1387,-454770.0962
14000,2385.591,14358.3393,62143.2027,-516314.902,-437427.769,-454171.6993
15000,2384.7291,14278.1342,62213.2208,-516401.1189,-437525.0348,-454187.8981
16000,2363.4175,14350.0549,62175.399,-516403.5571,-437514.6857,-454228.1581
17000,2365.2246,14239.103,62359.8668,-516325.2829,-437361.08849999995,-453965.4161
18000,2383.9609,14263.0394,61358.0992,-514995.19,-436990.0905,-453637.0908
19000,2425.6219,14272.3977,61676.202,-515635.9798,-437261.7582,-453959.7778
20000,2403.0553,14267.8463,61652.6102,-515466.5727,-437143.06090000004,-453813.9625
21000,2404.1596,14321.3706,61932.0475,-515676.8591,-437019.2814,-453744.8116
22000,2359.8219,14217.3316,62237.2836,-516018.6478,-437204.21069999994,-453781.36419999995
23000,2392.9432,14286.0344,62265.8558,-516665.6458,-437720.8124,-454399.79
24000,2384.5272,14366.4777,61820.0113,-515479.0521,-436908.03589999996,-453659.04079999996
25000,2406.6494,14311.6804,62948.5219,-517630.1621,-437963.3104,-454681.6402
26000,2377.7586,14291.0673,61767.4205,-515898.0072,-437461.7608,-454130.5867
27000,2383.2098,14251.342,62254.4716,-516139.2938,-437250.2704,-453884.8222
28000,2394.5302,14257.5735,62315.2695,-517011.5286,-438044.15540000005,-454696.2591
29000,2410.1983,14301.3778,61919.6084,-515736.7467,-437105.56220000004,-453817.1383
30000,2375.7877,14245.4881,62066.1639,-516123.5093,-437436.0696,-454057.3454
31000,2370.3557,14279.0501,61521.1813,-515516.1508,-437345.5637,-453994.9695
32000,2370.3915,14243.804,62008.001,-515826.1704,-437203.9739,-453818.1694
33000,2355.3537,14304.3178,61499.4801,-515239.3936,-437080.242,-453739.9135
34000,2379.4005,14290.5824,62069.8387,-516162.0513,-437422.2297,-454092.21259999997
35000,2384.3347,14284.2739,62398.5434,-516293.4276,-437226.2756,-453894.8842
36000,2357.3717,14294.3189,62101.1134,-516065.6758,-437312.8718,-453964.56240000005
37000,2358.4014,14252.1844,61303.2772,-515337.9923,-437424.1293,-454034.7151
38000,2362.9755,14335.5301,62224.151,-516550.3074,-437627.6508,-454326.1564
39000,2354.9106,14371.2524,62053.3766,-516547.772,-437768.2324,-454494.3954
40000,2359.6612,14323.1183,62104.6293,-517196.5812,-438409.17240000004,-455091.9519
41000,2401.8168,14354.1914,62071.9408,-516308.0216,-437480.07259999996,-454236.0808
42000,2409.0107,14333.5255,61550.077,-515751.8511,-437459.23790000007,-454201.77410000004
43000,2391.6727,14283.8648,61632.0693,-514978.1795,-436670.5727,-453346.1102
44000,2347.1587,14320.1834,61707.1987,-515605.8452,-437231.30439999996,-453898.6465
45000,2381.8887,14342.1175,61814.0648,-516280.9631,-437742.8921,-454466.8983
46000,2383.2785,14371.7978,61890.1601,-516180.0794,-437534.843,-454289.9193
47000,2399.6005,14307.0864,61535.1638,-515060.0031,-436818.15239999996,-453524.8393
48000,2387.6806,14346.5511,62135.004,-516266.8978,-437397.66209999996,-454131.89379999996
49000,2410.0921,14261.794,61534.4475,-515950.3216,-437743.988,-454415.8741
50000,2381.6627,14291.4469,61940.0333,-516516.9257,-437903.78280000004,-454576.8924
51000,2375.5084,14260.1116,62038.9618,-516065.7663,-437391.18450000003,-454026.8045
52000,2387.2043,14243.5408,62234.1993,-516467.5981,-437602.6537,-454233.3988
53000,2392.8026,14188.9997,61762.5282,-515289.8748,-436945.5443,-453527.3466
54000,2409.0324,14366.7038,61619.4741,-516059.085,-437663.87470000004,-454439.6109
55000,2349.0005,14255.4352,62002.8367,-515887.3497,-437280.0773,-453884.51300000004
56000,2375.7579,14361.2554,61882.5169,-516045.0826,-437425.55240000004,-454162.56570000004
57000,2405.3267,14295.0911,62290.9305,-516306.208,-437314.8597,-454015.27749999997
58000,2358.0478,14309.7904,62557.8656,-517248.6837,-438022.97990000003,-454690.8181
59000,2405.2035,14314.6286,61706.5109,-516154.8539,-437728.5109,-454448.343
60000,2360.6849,14332.7724,62469.7033,-517017.4303,-437854.2697,-454547.727
61000,2370.3509,14278.7354,62132.5525,-516681.5769,-437899.93809999997,-454549.0244
62000,2338.8793,14191.7407,61507.3014,-515473.4384,-437435.517,-453966.137
63000,2367.399,14306.8083,61929.7595,-516600.8492,-437996.8824,-454671.0897
64000,2361.2155,14170.2824,61765.8084,-515165.8103,-436868.504,-453400.00190000003
65000,2355.598,14256.9598,61684.3729,-515791.0957,-437494.16500000004,-454106.7228
66000,2352.7982,14264.0591,61678.3353,-515838.2045,-437543.0119,-454159.8692
67000,2381.5241,14210.6052,62018.3349,-516468.5453,-437858.0811,-454450.2104
68000,2342.3664,14239.3726,61939.4643,-516259.9554,-437738.7521,-454320.4911
69000,2368.5196,14203.8634,62149.0769,-515898.6293,-437177.16939999996,-453749.5524
70000,2417.83,14310.1389,62524.3047,-517032.8991,-437780.62549999997,-454508.5944
71000,2404.7541,14274.2239,61777.9562,-515458.5816,-437001.64739999996,-453680.62539999996
72000,2360.1234,14277.7985,61725.8269,-515596.393,-437232.6442,-453870.5661
73000,2347.5074,14302.8593,62295.6145,-516633.4676,-437687.48639999994,-454337.85309999995
74000,2406.009,14336.5669,62066.202,-516318.996,-437510.2181,-454252.794
75000,2415.9806,14302.6759,62332.1097,-515717.3398,-436666.5736,-453385.23010000004
76000,2370.4914,14277.9945,61615.1491,-515223.9304,-436960.2954,-453608.78130000003
77000,2405.2192,14321.0324,62325.0024,-516656.9719,-437605.7179,-454331.9695
78000,2382.5439,14272.7538,62025.4627,-516243.315,-437562.55460000003,-454217.8523
79000,2378.8834,14259.4753,61845.016,-516196.6982,-437713.3235,-454351.6822
80000,2383.8265,14294.8058,61961.4015,-516204.9288,-437564.895,-454243.5273
81000,2378.9863,14216.6834,61947.3393,-515922.5327,-437379.5237,-453975.1934
82000,2417.2014,14327.001,61528.5333,-515481.5099,-437208.7742,-453952.9766
83000,2361.9477,14261.046,61915.4304,-515567.4852,-437029.0611,-453652.0548
84000,2426.0652,14268.0232,61781.5933,-515477.9313,-437002.2496,-453696.338
85000,2387.2379,14175.9971,61932.9646,-515690.7407,-437194.54110000003,-453757.7761
86000,2394.887,14251.2943,61409.8283,-515244.9448,-437188.9352,-453835.1165
87000,2367.3039,14257.4228,62038.8083,-515646.1443,-436982.6093,-453607.336
88000,2368.2205,14355.4261,61212.095,-515083.1199,-437147.3783,-453871.02489999996
89000,2371.7109,14245.8448,62015.116,-515777.6138,-437144.9421,-453762.4978
90000,2357.4152,14260.7034,62041.0689,-516462.0352,-437802.8477,-454420.9663
91000,2368.0119,14334.8214,61854.4847,-515647.6984,-437090.3804,-453793.21369999996
92000,2396.0335,14373.4034,62010.5438,-515913.5534,-437133.57269999996,-453903.0096
93000,2343.3539,14252.0436,61942.9014,-515692.3462,-437154.04730000003,-453749.44480000006
94000,2363.7331,14281.7638,61904.0853,-515689.386,-437139.8038,-453785.3007
95000,2404.9525,14309.3775,62162.3382,-516681.645,-437804.9768,-454519.3068
96000,2385.2287,14261.9766,62415.3551,-516414.3798,-437351.8194,-453999.0247
97000,2370.4706,14168.0046,61744.158,-515357.5765,-437074.94330000004,-453613.4185
98000,2419.0333,14287.1253,62559.6963,-517371.2583,-438105.40339999995,-454811.562
99000,2371.7924,14248.7759,62239.2874,-516333.5914,-437473.73569999996,-454094.304
100000,2369.8383,14194.8944,62955.2426,-517333.4639,-437813.4886,-454378.2213
101000,2381.3334,14276.9845,62446.8281,-517590.2198,-438485.0738,-455143.39170000004
102000,2411.5341,14262.2569,61768.9529,-516207.1687,-437764.4248,-454438.2158
103000,2361.7398,14240.4939,61651.1674,-515785.2822,-437531.8811,-454134.11480000004
104000,2414.3418,14310.7302,62284.5867,-516251.2172,-437241.55850000004,-453966.6305
105000,2347.6649,14204.2427,62512.776,-516793.3085,-437728.6249,-454280.5325
106000,2404.6045,14157.2989,61661.3578,-515652.6241,-437429.3629,-453991.2663
107000,2421.778,14232.4343,62297.196,-516646.4769,-437695.0686,-454349.2809
108000,2335.717,14224.5193,62053.8996,-516124.77,-437510.6341,-454070.8704
109000,2398.0087,14318.7371,62132.6916,-516204.6197,-437355.1823,-454071.92809999996
110000,2390.0699,14282.7878,62362.9109,-516249.763,-437213.99439999997,-453886.85209999996
111000,2360.0515,14300.3693,61939.8471,-516488.9821,-437888.71420000005,-454549.135
112000,2348.0924,14241.794,62259.1014,-516542.4712,-437693.4834,-454283.36980000004
113000,2369.4964,14231.5092,62555.0165,-516177.3455,-437021.3234,-453622.329
114000,2356.7444,14297.7187,62017.2612,-516033.3966,-437361.6723,-454016.13539999997
115000,2405.0117,14192.8682,62111.4171,-516373.1976,-437663.90060000005,-454261.7805
116000,2388.1923,14237.4838,61777.549,-515473.52,-437070.29490000004,-453695.971
117000,2381.8836,14242.8441,61592.9473,-515139.0721,-436921.3971,-453546.1248
118000,2341.7547,14224.0086,61704.4769,-515106.8321,-436836.5919,-453402.3552
119000,2359.9123,14211.227,61807.8866,-515997.0863,-437618.0604,-454189.1997
120000,2392.8679,14278.729,62115.9867,-516907.4445,-438119.86089999997,-454791.4578
121000,2380.0824,14309.2112,61738.942,-516027.2847,-437599.0491,-454288.34270000004
122000,2378.0959,14250.5715,61839.7999,-516013.5869,-437545.1196,-454173.787
123000,2374.8969,14222.3196,61882.1788,-516042.9237,-437563.52839999995,-454160.7449
124000,2392.3619,14233.7203,61650.5904,-515200.2389,-436923.5663,-453549.6485
125000,2347.3362,14217.332,61884.2345,-515922.5557,-437473.65300000005,-454038.3212
126000,2358.5012,14196.4406,61317.2307,-514645.3898,-436773.2173,-453328.1591
127000,2369.4321,14197.5094,61936.4794,-515973.8061,-437470.3852,-454037.3267
