step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2396.5255,14277.3443,62190.7335,-517129.6761,-438265.07279999997,-454938.94259999995
2000,2411.1615,14310.6362,62049.3431,-516774.2878,-438003.147,-454724.9447
3000,2388.2691,14318.1452,61787.2548,-516935.9389,-438442.2698,-455148.6841
4000,2411.1875,14291.2294,61805.8516,-516541.6174,-438033.3489,-454735.7658
5000,2402.2338,14389.2123,62142.6089,-517014.5515,-438080.4965,-454871.9426
6000,2354.6188,14194.2495,62520.3007,-517391.987,-438322.818,-454871.6863
7000,2371.5248,14261.412,62148.8273,-516876.5387,-438094.7746,-454727.7114
8000,2359.0777,14269.1365,62268.0587,-517231.5025,-438335.22959999996,-454963.4438
9000,2357.4661,14296.1811,61976.4043,-516534.7448,-437904.6933,-454558.3405
10000,2357.996,14271.7588,61876.884,-517112.7785,-438606.1397,-455235.8945
11000,2371.3122,14210.8203,61981.3539,-517175.073,-438611.5866,-455193.7191
12000,2356.9804,14241.7695,62504.8846,-518048.3524,-438944.7179,-455543.4678
13000,2380.4064,14243.5967,61882.1058,-516876.1428,-438370.0339,-454994.03699999995
14000,2370.613,14176.9078,62117.0643,-516570.0928,-437905.50769999996,-454453.0285
15000,2404.4049,14203.7339,61664.7624,-516167.9716,-437895.07039999997,-454503.2092
16000,2392.5877,14340.3778,61967.7823,-516400.6466,-437699.89879999997,-454432.86429999996
17000,2404.3811,14258.7462,61520.2609,-515798.1188,-437614.7306,-454277.8579
18000,2370.2801,14248.8549,61708.9494,-515670.9419,-437342.8575,-453961.9925
19000,2380.3368,14337.4934,62167.5062,-516601.3196,-437715.9832,-454433.8134
20000,2382.3288,14290.1348,62031.6032,-516554.7979,-437850.7311,-454523.1947
21000,2380.7994,14252.4514,61983.2558,-516484.435,-437867.9284,-454501.1792
22000,2350.7055,14263.0258,61605.0457,-515819.6735,-437600.8965,-454214.62779999996
23000,2401.0369,14284.9572,61874.2412,-516263.1703,-437702.935,-454388.9291
24000,2359.0438,14330.0001,62075.9481,-516122.5783,-437357.58629999997,-454046.6302
25000,2391.4363,14276.6468,62009.9586,-516575.0537,-437897.012,-454565.0951
26000,2392.2871,14261.1147,62392.1835,-517459.7578,-438414.1725,-455067.57430000004
27000,2394.8177,14227.218,62053.7749,-516737.4401,-438061.62950000004,-454683.6652
28000,2377.2714,14149.2431,61876.3793,-516463.9754,-438061.0816,-454587.59609999997
29000,2408.3458,14303.8348,61812.3812,-516377.948,-437853.38619999995,-454565.5668
30000,2366.8104,14228.7201,62143.8244,-516597.6295,-437858.2746,-454453.8051
