step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2367.8332,14383.4058,61933.7056,-516447.6557,-437762.7111,-454513.9501
2000,2387.2829,14190.258,61807.3468,-515758.8668,-437373.9791,-453951.52
3000,2398.6131,14204.6744,61687.2137,-515560.7615,-437270.2603,-453873.5478
4000,2353.0937,14142.7281,62127.8397,-516254.4341,-437630.7726,-454126.5944
5000,2374.8996,14317.8056,62125.0654,-516146.6948,-437328.9242,-454021.6294
6000,2366.0678,14221.574,62029.6539,-516896.6329,-438279.3372,-454866.97900000005
7000,2390.0317,14241.378,62246.5858,-516949.7426,-438071.7471,-454703.1568
8000,2346.6533,14185.3241,61985.4818,-516307.6124,-437790.1532,-454322.1306
9000,2347.8576,14212.4268,62170.8194,-516254.4181,-437523.3143,-454083.59870000003
10000,2381.9162,14251.6825,61949.7804,-516165.635,-437582.2559,-454215.8546
11000,2372.5751,14239.4894,61926.4851,-516552.5557,-438014.0061,-454626.07060000004
12000,2388.205,14254.9168,62127.6042,-515957.3387,-437186.61270000006,-453829.7345
13000,2378.0251,14261.5599,61669.7765,-516270.0451,-437960.6836,-454600.2686
14000,2387.8941,14254.4207,61701.9008,-515428.9859,-437084.77030000003,-453727.0851
15000,2361.5998,14207.2175,62178.8633,-516640.6808,-437893.0002,-454461.8175
16000,2382.0227,14115.9685,62077.9288,-516589.5037,-438013.5837,-454511.5749
17000,2386.7052,14224.4289,62438.5155,-517161.3468,-438111.6972,-454722.8313
18000,2386.0288,14214.0379,61780.7334,-516199.296,-437818.4959,-454418.56259999995
19000,2370.1434,14189.0818,62194.7768,-516530.821,-437776.819,-454336.0442
20000,2343.4048,14245.2953,62165.5126,-516663.7861,-437909.5734,-454498.2735
21000,2351.143,14294.9653,62429.0133,-517333.1925,-438258.0709,-454904.1792
22000,2390.2441,14251.4164,61963.6279,-516318.3755,-437713.0871,-454354.7476
23000,2386.2739,14265.8425,61819.5214,-516360.4552,-437888.81740000006,-454540.9338
24000,2381.7395,14307.3541,62335.2304,-517011.4691,-437987.14509999997,-454676.2387
25000,2398.8126,14342.8314,61612.8837,-516210.7916,-437856.2639,-454597.9079
26000,2383.4281,14315.3226,61926.0553,-516160.1158,-437535.30980000005,-454234.0605
27000,2380.7893,14237.4435,61913.7463,-516332.9247,-437800.9456,-454419.1784
28000,2407.0381,14190.2489,62326.1431,-516882.1494,-437958.7193,-454556.0063
29000,2390.0453,14251.2668,62052.8081,-515729.1405,-437035.0203,-453676.33239999996
30000,2377.0545,14147.7074,62182.1995,-516266.6956,-437559.73419999995,-454084.4961
31000,2389.5389,14331.266,61393.0867,-515049.7851,-436935.8935,-453656.6984
32000,2357.8291,14305.577,61070.5851,-514699.5235,-436965.5323,-453628.9384
33000,2360.8291,14250.3934,62060.2943,-516045.333,-437373.8162,-453985.0387
34000,2375.8917,14257.8797,62367.5753,-517071.5333,-438070.1866,-454703.958
35000,2381.9351,14237.2375,61861.2653,-516262.9067,-437782.46880000003,-454401.64139999996
36000,2371.509,14275.2146,62328.4588,-516556.7386,-437581.5562,-454228.27979999996
37000,2376.7931,14241.8241,62028.4695,-516742.265,-438095.1783,-454713.7955
38000,2380.0048,14337.5639,62019.7387,-516352.021,-437614.7136,-454332.2823
39000,2376.0395,14282.2594,61995.0111,-516608.5739,-437955.2639,-454613.5628
40000,2369.9366,14195.2908,61729.8812,-515554.0548,-437258.9462,-453824.1736
41000,2371.575,14193.5811,62027.0582,-516715.0983,-438122.884,-454688.0401
42000,2366.9088,14327.8866,62115.4402,-516571.3211,-437761.0855,-454455.8809
43000,2397.314,14318.8263,62013.125,-516182.7468,-437453.4815,-454169.6218
44000,2400.9876,14291.0479,61516.1088,-515514.4057,-437306.2614,-453998.2969
45000,2393.2471,14270.7136,61966.8897,-516412.958,-437782.1076,-454446.0683
46000,2372.7667,14216.9766,62115.4587,-516137.5594,-437432.35740000004,-454022.1007
47000,2360.086,14225.4509,62029.9653,-516771.2051,-438155.70290000003,-454741.23980000004
48000,2386.7868,14332.6774,61547.083,-515893.2161,-437626.66890000005,-454346.13310000004
49000,2362.1104,14192.8971,61976.1536,-516196.6266,-437665.46550000005,-454220.473
