step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2424.1279,14372.5461,62227.4853,-516655.176,-437631.0167,-454427.6907
2000,2373.8288,14240.4457,63163.8055,-517595.9722,-437817.8922,-454432.1667
3000,2381.6205,14268.7899,61771.5088,-515045.0285,-436623.1093,-453273.5197
4000,2379.8541,14296.4732,62021.0056,-516001.8233,-437304.4904,-453980.8177
5000,2378.4232,14297.0891,61732.1791,-515707.2242,-437299.5328,-453975.0451
6000,2373.8218,14248.8599,62069.2593,-516724.706,-438032.765,-454655.44670000003
7000,2386.7207,14208.181,61831.725,-515723.0374,-437296.4107,-453891.3124
8000,2398.8272,14377.6412,62252.1704,-516303.2712,-437274.6324,-454051.1008
9000,2370.7692,14264.962,62171.8407,-517054.7381,-438247.16620000004,-454882.8974
10000,2410.6946,14365.855,62288.5414,-517049.3113,-437984.2203,-454760.7699
11000,2373.1109,14263.5474,62346.6914,-516982.1431,-437998.79339999997,-454635.4517
12000,2370.8612,14251.8842,61681.7305,-515900.0861,-437595.6102,-454218.3556
13000,2392.3343,14247.8414,61840.3378,-516064.9136,-437584.4001,-454224.57580000005
14000,2379.869,14210.6383,61717.4683,-515777.7477,-437469.7721,-454060.2794
15000,2390.7317,14348.3016,62278.5675,-517266.5452,-438248.9444,-454987.9777
16000,2373.6067,14266.7921,62215.3068,-516414.8053,-437559.0997,-454199.4985
17000,2382.8562,14316.7307,61877.2807,-516271.7562,-437694.8886,-454394.4755
18000,2384.4621,14266.517,62312.3926,-516888.4114,-437925.03969999996,-454576.01879999996
19000,2372.3027,14363.84,62170.4749,-516840.4228,-437933.8052,-454669.9479
20000,2356.6271,14298.2671,62132.1776,-516602.3808,-437815.309,-454470.2032
21000,2365.2113,14248.7585,62450.6012,-516605.3718,-437540.8008,-454154.77060000005
22000,2405.8881,14316.3195,61674.4227,-515474.6071,-437077.9768,-453800.1844
23000,2392.6927,14284.7139,61620.6629,-515397.154,-437099.0845,-453776.4911
24000,2419.5835,14338.4519,61799.8016,-515923.6224,-437365.7854,-454123.8208
25000,2412.2922,14360.5787,62033.9538,-515760.0653,-436953.2406,-453726.1115
26000,2390.2926,14303.6351,62026.3049,-515183.6054,-436463.3728,-453157.3005
27000,2380.426,14314.7988,62036.0268,-516302.1134,-437570.86179999996,-454266.0866
28000,2402.2829,14317.2408,62069.5579,-515985.1726,-437196.091,-453915.6147
29000,2378.747,14375.6825,62242.204,-516378.2711,-437381.6376,-454136.0671
30000,2414.8156,14345.8777,62070.7294,-515751.3489,-436919.9262,-453680.6195
31000,2404.3374,14427.5693,61596.743,-516027.6601,-437599.01039999997,-454430.91709999996
32000,2356.9361,14290.173,61679.5046,-515139.7151,-436813.1014,-453460.2105
33000,2360.2017,14239.209,61907.5009,-515762.7041,-437255.7925,-453855.2032
34000,2405.4038,14360.7312,62176.9038,-516198.7336,-437255.69479999994,-454021.82979999995
35000,2391.3816,14314.1362,61297.8227,-515289.3202,-437285.9797,-453991.4975
36000,2416.8629,14381.4805,62037.4881,-516408.4568,-437572.62529999996,-454370.96869999997
37000,2379.4319,14391.2241,62084.3128,-515615.1666,-436760.19779999997,-453530.8538
38000,2401.1839,14419.5562,61835.9053,-515753.9573,-437097.3119,-453918.052
39000,2363.086,14289.893,61625.8389,-515309.8431,-437031.02520000003,-453684.00419999997
40000,2355.2639,14341.2262,62360.0701,-516955.7901,-437899.2299,-454595.72
41000,2380.2322,14377.3311,62426.7899,-516399.2841,-437214.9309,-453972.49419999996
42000,2402.4996,14350.8923,62118.2351,-516101.8991,-437230.2721,-453983.664
43000,2413.0849,14397.4005,61997.2313,-515750.2223,-436942.50560000003,-453752.99100000004
44000,2423.3096,14370.3011,61935.6415,-515985.5014,-437256.2492,-454049.85990000004
45000,2332.9461,14320.7272,61786.4631,-515974.2596,-437534.1232,-454187.7965
46000,2356.6677,14166.6838,62419.3284,-516112.2365,-437169.5566,-453692.9081
47000,2369.1048,14311.5855,61756.9382,-516033.8838,-437596.2553,-454276.94560000004
48000,2392.9206,14243.8296,62179.8458,-516322.8669,-437506.2709,-454143.0211
49000,2379.4708,14330.4325,62185.4916,-516415.703,-437520.30809999997,-454230.2114
50000,2355.4464,14251.1567,61955.1475,-515708.9605,-437147.2099,-453753.81299999997
51000,2380.797,14238.4564,62156.9049,-515503.7934,-436727.6351,-453346.8885
52000,2373.6765,14195.8048,61731.0688,-515358.966,-437058.4159,-453627.8972
53000,2381.3383,14227.3589,61768.695,-515759.9649,-437382.5727,-453991.2699
54000,2384.7234,14287.8542,61991.8413,-516354.3413,-437689.9224,-454362.5
55000,2418.2374,14258.0176,61988.9378,-516844.4709,-438179.2781,-454855.5331
56000,2375.6777,14288.3677,62113.184,-515972.7607,-437195.5313,-453859.5767
57000,2370.9496,14374.9281,62044.8395,-516150.2647,-437359.5475,-454105.4252
58000,2376.3151,14199.6287,61955.3675,-515743.0287,-437211.7174,-453787.66120000003
59000,2380.1922,14354.1336,62458.0001,-516662.2579,-437469.93200000003,-454204.2578
60000,2365.8806,14344.456,61642.3223,-515396.8282,-437044.1693,-453754.5059
61000,2358.7531,14256.294,61879.8675,-516049.6887,-437554.7741,-454169.8212
62000,2383.7568,14296.6071,61835.5811,-515845.9145,-437329.9695,-454010.3334
63000,2390.8111,14244.1847,61588.6147,-515482.6768,-437259.0663,-453894.06210000004
64000,2399.7763,14252.9133,61257.3532,-514885.9353,-436975.8925,-453628.5821
65000,2358.7292,14252.6653,61995.7309,-516465.2092,-437858.08379999996,-454469.47829999996
66000,2418.4224,14305.5897,62552.9617,-517360.2295,-438083.2557,-454807.26780000003
67000,2366.7012,14287.6306,62087.07,-516247.8522,-437506.45040000003,-454160.7822
68000,2382.3777,14260.8665,61956.188,-516585.8717,-437986.4395,-454629.6837
69000,2370.0196,14284.4406,61916.6659,-515813.2907,-437242.1646,-453896.6248
70000,2368.0481,14270.8919,62034.3368,-516183.047,-437509.7702,-454148.71020000003
