step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2343.0856,13731.6927,62183.8,-514958.8035,-436700.2252,-452775.0035
2000,2374.5099,13713.2284,61592.9576,-514345.4659,-436664.77,-452752.5083
3000,2400.2322,13904.7368,62007.2845,-515022.8406,-436710.5871,-453015.5561
4000,2360.8577,13827.1813,62102.0906,-514575.5454,-436285.4158,-452473.4548
5000,2368.1158,13749.1838,62379.3648,-515107.9599,-436611.2955,-452728.59510000004
6000,2406.0629,13900.5328,62290.7723,-515171.474,-436574.10599999997,-452880.7017
7000,2369.7163,13712.3157,61835.3488,-514236.3663,-436318.9855,-452401.0175
8000,2393.2886,13845.3034,62136.4001,-514817.7979,-436442.8058,-452681.39780000004
9000,2386.3293,13720.5406,62345.4995,-515272.3358,-436819.96640000003,-452926.8363
10000,2362.896,13900.9381,62349.6571,-515404.4006,-436790.9094,-453054.7435
11000,2367.0477,13793.8868,61861.2117,-515296.0753,-437273.9291,-453434.86360000004
12000,2385.2172,13787.732,61929.6431,-514978.2151,-436875.62279999995,-453048.572
13000,2351.5448,13751.0024,62078.1518,-515228.2657,-437047.56669999997,-453150.1139
14000,2349.8808,13782.803,62502.427,-516027.0116,-437391.90080000006,-453524.5846
15000,2354.6031,13774.6028,62775.3848,-516737.0899,-437832.4992,-453961.7051
16000,2358.347,13799.0736,62557.9664,-516227.1304,-437511.74340000004,-453669.16400000005
17000,2325.4919,13715.8382,61768.298,-514659.1885,-436849.56039999996,-452890.8905
18000,2368.1922,13705.8514,62287.4886,-515910.6035,-437549.0713,-453623.11490000004
19000,2376.6424,13871.1883,62269.1683,-516089.5988,-437572.59979999997,-453820.43049999996
20000,2372.5549,13827.2514,62735.3957,-516552.2422,-437617.0402,-453816.8465
21000,2374.2868,13748.8565,61727.1068,-515041.8553,-437191.6052,-453314.7485
22000,2366.5612,13834.2586,62370.7724,-515254.3782,-436682.78599999996,-452883.60579999996
23000,2351.4987,13717.659,61960.1706,-514915.0976,-436885.7693,-452954.92699999997
24000,2359.9705,13791.6624,62110.1771,-514955.5981,-436693.7881,-452845.421
25000,2377.981,13850.8763,61960.6421,-514554.0094,-436364.51,-452593.3673
26000,2356.3091,13746.0066,62097.3151,-514488.3339,-436288.70310000004,-452391.0188
27000,2370.2245,13740.7238,62718.8074,-516447.2649,-437617.50920000003,-453728.4575
28000,2363.1202,13748.9775,61876.2083,-514839.645,-436851.33900000004,-452963.4367
29000,2336.1923,13711.3853,62100.7094,-515282.1209,-437133.83389999997,-453181.4115
30000,2368.8946,13814.7516,62469.7186,-515025.3823,-436372.0175,-452555.6637
31000,2363.0291,13852.9042,61868.9733,-515402.6862,-437317.7796,-453533.7129
32000,2358.2897,13770.6417,61870.6137,-514551.27,-436551.72490000003,-452680.65630000003
33000,2378.6483,13732.2888,62292.7606,-515481.521,-437077.8233,-453188.7604
34000,2347.5565,13711.0705,62595.0985,-515587.8542,-436934.1287,-452992.7557
