window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437676.871100,4403.105601,-453841.521528,4563.050999,464.055672,13731.530610,-1504.913259,13775.830112,10.947073,-35.500904,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437658.902864,4402.844945,-453899.791770,4564.254357,3576.696998,5067.851479,2920.955888,5074.424280,191.245988,156.183511,294.438236,0.100429,288.185268,0.105438
3,0.115050,0.080040,-437298.349257,4398.587237,-453532.396767,4559.528915,3603.167645,3371.014470,3842.154402,3393.820467,288.397538,307.526038,609.953651,0.131853,603.578643,0.134538
4,0.206340,0.101580,-437088.161109,4396.276012,-453291.194512,4557.195929,1868.491679,2657.514786,2192.653157,2672.030092,189.801385,222.729708,905.882018,0.153910,901.931571,0.155330
5,0.316080,0.116750,-436922.726375,4394.562712,-453091.607702,4555.093930,674.813879,2310.992735,934.437039,2330.201401,78.784520,109.095524,1150.344093,0.171967,1148.976084,0.172386
6,0.437380,0.124570,-436932.252111,4395.230110,-453075.302179,4555.510301,-23.394478,2138.308974,-1.365905,2157.179920,-2.914250,-0.170151,1318.677569,0.186594,1320.383993,0.187809
7,0.562620,0.124570,-436928.494049,4394.412074,-453091.944453,4555.001579,42.686486,2165.204476,82.005195,2181.660554,5.317456,10.215387,1398.697444,0.201001,1401.804936,0.202234
8,0.683920,0.116750,-436921.728185,4394.748617,-453055.084618,4554.884612,-74.456202,2278.702393,-104.471783,2303.057421,-8.692762,-12.197081,1387.124450,0.213168,1390.602605,0.215777
9,0.793660,0.101580,-436945.696410,4395.006252,-453116.081613,4555.577333,-397.517213,2649.222126,-201.287866,2671.329041,-40.379798,-20.446821,1292.708892,0.225731,1294.409505,0.227686
10,0.884950,0.080040,-437001.641070,4395.470250,-453095.549518,4555.196425,-376.386637,3339.433283,-480.495673,3377.152215,-30.125986,-38.458874,1133.089364,0.236454,1132.020481,0.238954
11,0.952060,0.053470,-437005.316053,4395.441461,-453192.192128,4556.265968,-149.565462,5003.847118,-588.242789,5077.330994,-7.997265,-31.453342,936.353723,0.247851,928.311739,0.252400
12,0.990780,0.023590,-437017.469583,4395.634386,-453157.803252,4555.914042,-313.882468,13627.980879,888.142452,13874.381698,-7.404487,20.951280,726.824227,0.268393,709.006895,0.273254
