lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,294.438236,0.100429,288.185268,0.105438
0.115050,609.953651,0.131853,603.578643,0.134538
0.206340,905.882018,0.153910,901.931571,0.155330
0.316080,1150.344093,0.171967,1148.976084,0.172386
0.437380,1318.677569,0.186594,1320.383993,0.187809
0.562620,1398.697444,0.201001,1401.804936,0.202234
0.683920,1387.124450,0.213168,1390.602605,0.215777
0.793660,1292.708892,0.225731,1294.409505,0.227686
0.884950,1133.089364,0.236454,1132.020481,0.238954
0.952060,936.353723,0.247851,928.311739,0.252400
0.990780,726.824227,0.268393,709.006895,0.273254
